<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BVSP,D,20021219,000000,11191.8000000,11222.0300000,11117.1300000,11207.5000000,0
BVSP,D,20021220,000000,11275.2700000,11605.5700000,11262.1500000,11489.9900000,0
BVSP,D,20021223,000000,11502.2900000,11648.3700000,11383.6300000,11470.1500000,0
BVSP,D,20021226,000000,11470.1600000,11475.2300000,11300.6900000,11318.0800000,0
BVSP,D,20021227,000000,11325.5800000,11325.5800000,11207.3000000,11234.4900000,0
BVSP,D,20021230,000000,11235.2800000,11324.7900000,11211.7400000,11268.4700000,0
BVSP,D,20030102,000000,11290.7600000,11602.9800000,11290.7600000,11602.9800000,0
BVSP,D,20030103,000000,11602.9900000,11797.7900000,11600.2300000,11600.2300000,0
BVSP,D,20030106,000000,11636.3100000,12031.9000000,11633.4400000,12019.7000000,0
BVSP,D,20030107,000000,12009.6200000,12017.6000000,11842.1300000,11876.0900000,0
BVSP,D,20030108,000000,11876.1000000,11927.9500000,11757.0500000,11791.4000000,0
BVSP,D,20030109,000000,11815.2600000,11964.2200000,11780.3400000,11911.7200000,0
BVSP,D,20030110,000000,11911.7300000,12242.9200000,11911.7300000,12242.9200000,0
BVSP,D,20030113,000000,12242.8600000,12349.7500000,12095.0100000,12110.2700000,0
BVSP,D,20030114,000000,12110.2800000,12174.6600000,12052.0900000,12174.6600000,0
BVSP,D,20030115,000000,12150.6900000,12150.6900000,11898.8800000,11971.3100000,0
BVSP,D,20030116,000000,11973.0300000,12193.1100000,11920.7700000,11951.9300000,0
BVSP,D,20030117,000000,11951.7700000,11951.7700000,11555.1700000,11675.7000000,0
BVSP,D,20030120,000000,11675.0100000,11742.2600000,11544.9000000,11648.3800000,0
BVSP,D,20030121,000000,11610.1200000,11661.7900000,11433.5600000,11434.7100000,0
BVSP,D,20030122,000000,11428.1000000,11428.1000000,11132.1800000,11142.4800000,0
BVSP,D,20030123,000000,11147.6900000,11335.6200000,11027.4100000,11162.1400000,0
BVSP,D,20030124,000000,11080.4100000,11080.4100000,10752.9700000,10783.6500000,0
BVSP,D,20030127,000000,10760.4400000,10760.4400000,10461.7600000,10529.7700000,0
BVSP,D,20030128,000000,10529.7800000,10650.2400000,10495.0000000,10516.8400000,0
BVSP,D,20030129,000000,10518.3400000,10863.3100000,10456.6300000,10863.3100000,0
BVSP,D,20030130,000000,10872.6500000,11000.6200000,10704.6000000,10750.7900000,0
BVSP,D,20030131,000000,10760.7200000,10954.8500000,10740.8500000,10945.2800000,0
BVSP,D,20030203,000000,10945.3000000,11067.0900000,10852.2300000,10910.0100000,0
BVSP,D,20030204,000000,10878.9400000,10878.9400000,10534.0400000,10577.1700000,0
BVSP,D,20030205,000000,10577.1800000,10760.9400000,10496.5100000,10591.8100000,0
BVSP,D,20030206,000000,10587.3000000,10588.8700000,10360.0700000,10565.8300000,0
BVSP,D,20030207,000000,10566.7200000,10691.7700000,10354.6900000,10380.5900000,0
BVSP,D,20030210,000000,10389.2200000,10526.7000000,10309.6400000,10479.6100000,0
BVSP,D,20030211,000000,10490.8700000,10649.8600000,10475.1600000,10509.4200000,0
BVSP,D,20030212,000000,10509.4300000,10587.3200000,10445.0600000,10509.8700000,0
BVSP,D,20030213,000000,10509.0200000,10509.0200000,10090.6700000,10107.7700000,0
BVSP,D,20030214,000000,10107.7800000,10162.7300000,9968.0800000,10080.8300000,0
BVSP,D,20030217,000000,10089.3900000,10229.3200000,10089.3900000,10199.1300000,0
BVSP,D,20030218,000000,10188.9900000,10465.9700000,10165.7200000,10428.2800000,0
BVSP,D,20030219,000000,10449.6900000,10449.6900000,10206.1400000,10239.0500000,0
BVSP,D,20030220,000000,10251.8600000,10267.9300000,10118.2500000,10200.3700000,0
