<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
I.BSE_SEN,D,20071025,000000,18519.2300000,18900.1000000,18459.5100000,18770.8900000,0
I.BSE_SEN,D,20071026,000000,18823.6600000,19276.4500000,18629.5300000,19243.1700000,0
I.BSE_SEN,D,20071029,000000,19621.3900000,20024.8700000,19621.3900000,19977.6700000,0
I.BSE_SEN,D,20071030,000000,20103.4400000,20238.1600000,19694.8500000,19783.5100000,0
I.BSE_SEN,D,20071031,000000,19735.2100000,19984.1300000,19735.2100000,19837.9900000,0
I.BSE_SEN,D,20071101,000000,20055.1300000,20156.5900000,19634.4700000,19724.3500000,0
I.BSE_SEN,D,20071102,000000,19364.6100000,20025.6300000,19255.7700000,19976.2300000,0
I.BSE_SEN,D,20071105,000000,20009.3500000,20009.3500000,19502.4500000,19590.7800000,0
I.BSE_SEN,D,20071106,000000,19689.7900000,19919.3400000,19366.6100000,19470.4300000,0
I.BSE_SEN,D,20071107,000000,19552.5300000,19678.5000000,19249.4700000,19289.8300000,0
I.BSE_SEN,D,20071108,000000,19110.4000000,19209.9100000,18917.4000000,19058.9300000,0
I.BSE_SEN,D,20071109,000000,19058.9300000,19058.9300000,19058.9300000,19058.9300000,0
I.BSE_SEN,D,20071112,000000,18412.0500000,18815.1100000,18366.7300000,18737.2700000,0
I.BSE_SEN,D,20071113,000000,18681.1000000,19210.4800000,18636.2100000,19035.4800000,0
I.BSE_SEN,D,20071114,000000,19336.9600000,19987.7100000,19336.9600000,19929.0600000,0
I.BSE_SEN,D,20071115,000000,19947.7200000,19967.0800000,19723.2000000,19784.8900000,0
I.BSE_SEN,D,20071116,000000,19603.0900000,19838.0300000,19472.5100000,19698.3600000,0
I.BSE_SEN,D,20071119,000000,19895.4900000,19971.4400000,19583.9700000,19633.3600000,0
I.BSE_SEN,D,20071120,000000,19510.9400000,19714.2200000,19196.4200000,19280.8000000,0
I.BSE_SEN,D,20071121,000000,19197.5700000,19218.8800000,18515.3000000,18602.6200000,0
I.BSE_SEN,D,20071122,000000,18658.6000000,18699.5800000,18182.8300000,18526.3200000,0
I.BSE_SEN,D,20071123,000000,18737.2200000,18910.4600000,18548.0600000,18852.8700000,0
I.BSE_SEN,D,20071126,000000,19171.2500000,19360.2300000,19137.6600000,19247.5400000,0
I.BSE_SEN,D,20071127,000000,19128.8600000,19211.5800000,19019.3300000,19127.7300000,0
I.BSE_SEN,D,20071128,000000,19316.7600000,19316.7600000,18884.2000000,18938.8700000,0
I.BSE_SEN,D,20071129,000000,19290.6700000,19297.0100000,18937.0500000,19003.2600000,0
I.BSE_SEN,D,20071130,000000,19086.4800000,19424.9900000,19086.4800000,19363.1900000,0
I.BSE_SEN,D,20071203,000000,19547.0900000,19619.4400000,19446.6800000,19603.4100000,0
I.BSE_SEN,D,20071204,000000,19707.5900000,19707.8600000,19482.3400000,19529.5000000,0
I.BSE_SEN,D,20071205,000000,19628.8500000,19790.9200000,19560.6800000,19738.0700000,0
I.BSE_SEN,D,20071206,000000,20018.1700000,20064.3100000,19716.5700000,19795.8700000,0
I.BSE_SEN,D,20071207,000000,19984.6900000,20023.4800000,19706.4300000,19966.0000000,0
I.BSE_SEN,D,20071210,000000,19993.8000000,20048.8700000,19834.0100000,19930.6800000,0
I.BSE_SEN,D,20071211,000000,20049.3500000,20333.0600000,20019.3400000,20290.8900000,0
I.BSE_SEN,D,20071212,000000,20197.4400000,20419.1100000,20045.4200000,20375.8700000,0
I.BSE_SEN,D,20071213,000000,20498.1100000,20498.1100000,20065.6300000,20104.3900000,0
I.BSE_SEN,D,20071214,000000,20108.0900000,20171.5700000,19936.4900000,20030.8300000,0
I.BSE_SEN,D,20071217,000000,20032.6700000,20032.6700000,19177.1900000,19261.3500000,0
I.BSE_SEN,D,20071218,000000,19339.1400000,19375.0700000,19009.3500000,19079.6400000,0
I.BSE_SEN,D,20071219,000000,19255.3900000,19397.7600000,18886.4000000,19091.9600000,0
I.BSE_SEN,D,20071220,000000,19210.2200000,19291.1400000,19097.7000000,19162.5700000,0
I.BSE_SEN,D,20071224,000000,19308.2000000,19879.0000000,19308.2000000,19854.1200000,0
I.BSE_SEN,D,20071226,000000,19940.9600000,20211.4700000,19896.6100000,20192.5200000,0
I.BSE_SEN,D,20071227,000000,20301.0500000,20323.7600000,20159.7300000,20216.7200000,0
I.BSE_SEN,D,20071228,000000,20158.1200000,20259.4500000,20022.8800000,20206.9500000,0
I.BSE_SEN,D,20071231,000000,20323.2800000,20484.2800000,20239.6300000,20286.9900000,0
I.BSE_SEN,D,20080101,000000,20325.2700000,20394.8900000,20220.4600000,20300.7100000,0
I.BSE_SEN,D,20080102,000000,20393.1000000,20529.4800000,20077.4000000,20465.3000000,0
I.BSE_SEN,D,20080103,000000,20372.9300000,20519.7000000,20293.8700000,20345.2000000,0
I.BSE_SEN,D,20080104,000000,20367.9400000,20762.8000000,20367.9400000,20686.8900000,0
I.BSE_SEN,D,20080107,000000,20637.2100000,20861.8300000,20438.1900000,20812.6500000,0
I.BSE_SEN,D,20080109,000000,20824.4500000,21113.1300000,20821.0800000,20869.7800000,0
I.BSE_SEN,D,20080110,000000,20930.2800000,21206.7700000,20530.0700000,20582.0800000,0
I.BSE_SEN,D,20080111,000000,20702.9400000,20894.7900000,20505.8100000,20827.4500000,0
I.BSE_SEN,D,20080114,000000,20918.2300000,20959.2200000,20661.9000000,20728.0500000,0
I.BSE_SEN,D,20080115,000000,20836.4700000,20872.9300000,20203.6300000,20251.0900000,0
I.BSE_SEN,D,20080116,000000,20079.8900000,20079.8900000,19513.2500000,19868.1100000,0
I.BSE_SEN,D,20080117,000000,19972.7500000,20026.1200000,19643.7600000,19700.8200000,0
I.BSE_SEN,D,20080118,000000,19579.6100000,19715.7800000,18930.4200000,19013.7000000,0
I.BSE_SEN,D,20080121,000000,18919.5700000,18919.5700000,16951.5000000,17605.3500000,0
I.BSE_SEN,D,20080122,000000,16884.0900000,17010.0400000,15332.4200000,16729.9400000,0
I.BSE_SEN,D,20080123,000000,17520.0200000,17997.1100000,16951.0300000,17594.0700000,0
I.BSE_SEN,D,20080124,000000,17920.9800000,18185.1000000,17070.0500000,17221.7400000,0
I.BSE_SEN,D,20080125,000000,17504.0000000,18406.2500000,17504.0000000,18361.6600000,0
I.BSE_SEN,D,20080128,000000,18011.8900000,18213.2100000,17443.2900000,18152.7800000,0
I.BSE_SEN,D,20080129,000000,18346.4900000,18491.0600000,17927.9200000,18091.9400000,0
I.BSE_SEN,D,20080130,000000,18120.2200000,18129.1800000,17683.5100000,17758.6400000,0
I.BSE_SEN,D,20080131,000000,17810.1300000,18008.7100000,17417.6300000,17648.7100000,0
I.BSE_SEN,D,20080201,000000,17820.6700000,18312.4000000,17534.9600000,18242.5800000,0
I.BSE_SEN,D,20080204,000000,18496.0300000,18895.3400000,18447.2500000,18660.3200000,0
I.BSE_SEN,D,20080205,000000,18592.5800000,18729.8300000,18509.5400000,18663.1600000,0
I.BSE_SEN,D,20080206,000000,18247.0300000,18274.1500000,17936.0100000,18139.4900000,0
I.BSE_SEN,D,20080207,000000,18198.6800000,18198.6800000,17492.2800000,17526.9300000,0
I.BSE_SEN,D,20080208,000000,17610.0700000,17688.7300000,17203.0600000,17464.8900000,0
I.BSE_SEN,D,20080211,000000,17427.3400000,17427.3400000,16457.7400000,16630.9100000,0
I.BSE_SEN,D,20080212,000000,16812.6300000,16966.7200000,16565.4800000,16608.0100000,0
I.BSE_SEN,D,20080213,000000,16816.9400000,17141.0600000,16725.6800000,16949.1400000,0
I.BSE_SEN,D,20080214,000000,17265.1900000,17836.6400000,17265.1900000,17766.6300000,0
I.BSE_SEN,D,20080215,000000,17541.1700000,18142.9200000,17445.0500000,18115.2500000,0
I.BSE_SEN,D,20080218,000000,18228.2100000,18256.8200000,17900.9600000,18048.0500000,0
I.BSE_SEN,D,20080219,000000,18215.2600000,18314.1000000,18018.4800000,18075.6600000,0
I.BSE_SEN,D,20080220,000000,17991.2900000,17991.2900000,17505.5600000,17617.6000000,0
I.BSE_SEN,D,20080221,000000,17825.2200000,17911.6600000,17482.3100000,17734.6800000,0
I.BSE_SEN,D,20080222,000000,17503.0400000,17526.8000000,17309.4700000,17349.0700000,0
I.BSE_SEN,D,20080225,000000,17660.1200000,17670.2300000,17614.9900000,17650.5700000,0
I.BSE_SEN,D,20080226,000000,17799.5600000,17860.1000000,17678.7400000,17806.1900000,0
I.BSE_SEN,D,20080227,000000,17983.4200000,18137.2800000,17770.6500000,17825.9900000,0
I.BSE_SEN,D,20080228,000000,17810.5200000,17921.5100000,17690.1600000,17824.4800000,0
I.BSE_SEN,D,20080229,000000,17779.5400000,17779.5400000,17258.2000000,17578.7200000,0
I.BSE_SEN,D,20080303,000000,17227.5600000,17227.5600000,16634.6300000,16677.8800000,0
I.BSE_SEN,D,20080304,000000,16742.2000000,16754.0600000,16164.5700000,16339.8900000,0
I.BSE_SEN,D,20080305,000000,16328.9100000,16595.6400000,16253.0200000,16542.0800000,0
I.BSE_SEN,D,20080307,000000,16211.9600000,16211.9600000,15689.9200000,15975.5200000,0
I.BSE_SEN,D,20080310,000000,15684.2400000,15998.3300000,15362.1700000,15923.7200000,0
I.BSE_SEN,D,20080311,000000,15778.2700000,16168.1300000,15739.0400000,16123.1500000,0
I.BSE_SEN,D,20080312,000000,16541.1400000,16683.3700000,16064.0900000,16127.9800000,0
I.BSE_SEN,D,20080313,000000,15873.2800000,15873.2800000,15228.9900000,15357.3500000,0
I.BSE_SEN,D,20080314,000000,15467.3900000,15798.4200000,15331.3500000,15760.5200000,0
I.BSE_SEN,D,20080317,000000,15326.9300000,15326.9300000,14739.7200000,14809.4900000,0
I.BSE_SEN,D,20080318,000000,14725.6800000,15164.7300000,14677.2400000,14833.4600000,0
I.BSE_SEN,D,20080319,000000,15325.7900000,15465.8100000,14930.0800000,14994.8300000,0
I.BSE_SEN,D,20080324,000000,15151.4600000,15351.3100000,15056.0900000,15289.4000000,0
I.BSE_SEN,D,20080325,000000,15612.6100000,16262.3800000,15612.6100000,16217.4900000,0
I.BSE_SEN,D,20080326,000000,16270.1200000,16309.8800000,16009.8700000,16086.8300000,0
I.BSE_SEN,D,20080327,000000,15950.2900000,16111.4400000,15869.0900000,16015.5600000,0
I.BSE_SEN,D,20080328,000000,16100.2600000,16192.7800000,15884.4500000,16191.5300000,0
I.BSE_SEN,D,20080331,000000,16226.6600000,16226.6600000,15563.1500000,15644.4400000,0
I.BSE_SEN,D,20080401,000000,15771.7200000,15834.0500000,15301.8500000,15626.6200000,0
I.BSE_SEN,D,20080402,000000,16023.3000000,16236.7000000,15719.4700000,15750.4000000,0
I.BSE_SEN,D,20080403,000000,15805.6300000,16002.7300000,15699.2100000,15832.5500000,0
I.BSE_SEN,D,20080404,000000,15896.0900000,15896.0900000,15303.0400000,15343.1200000,0
I.BSE_SEN,D,20080407,000000,15390.1500000,15851.8800000,15321.5600000,15757.0800000,0
I.BSE_SEN,D,20080408,000000,15770.1600000,15770.4000000,15479.4200000,15587.6200000,0
I.BSE_SEN,D,20080409,000000,15512.7000000,15829.5900000,15464.7200000,15790.5100000,0
I.BSE_SEN,D,20080410,000000,15754.8700000,15953.5400000,15655.2000000,15695.1000000,0
I.BSE_SEN,D,20080411,000000,15840.5600000,15957.2400000,15673.6700000,15807.6400000,0
I.BSE_SEN,D,20080415,000000,15694.4100000,16249.4600000,15573.0300000,16153.6600000,0
I.BSE_SEN,D,20080416,000000,16288.7600000,16413.8000000,16198.5600000,16244.1900000,0
I.BSE_SEN,D,20080417,000000,16456.0400000,16570.5700000,16397.1700000,16481.2000000,0
I.BSE_SEN,D,20080421,000000,16611.4100000,16778.5900000,16611.4100000,16739.3300000,0
I.BSE_SEN,D,20080422,000000,16686.5500000,16853.9600000,16597.5300000,16783.8700000,0
I.BSE_SEN,D,20080423,000000,16823.9900000,16871.2700000,16589.4500000,16698.0400000,0
I.BSE_SEN,D,20080424,000000,16796.2600000,16844.0200000,16668.6000000,16721.0800000,0
I.BSE_SEN,D,20080425,000000,16781.9700000,17150.9200000,16781.9700000,17125.9800000,0
I.BSE_SEN,D,20080428,000000,17251.5600000,17271.5600000,16978.8900000,17015.9600000,0
I.BSE_SEN,D,20080429,000000,17323.1100000,17424.9400000,17318.6600000,17378.4600000,0
I.BSE_SEN,D,20080430,000000,17479.0100000,17480.7400000,17241.8800000,17287.3100000,0
I.BSE_SEN,D,20080502,000000,17560.1500000,17621.2400000,17445.9300000,17600.1200000,0
I.BSE_SEN,D,20080505,000000,17687.0000000,17735.7000000,17457.2700000,17490.9000000,0
I.BSE_SEN,D,20080506,000000,17441.4100000,17502.1500000,17237.6800000,17373.0100000,0
I.BSE_SEN,D,20080507,000000,17404.1500000,17413.8100000,17229.9800000,17339.3100000,0
I.BSE_SEN,D,20080508,000000,17212.6100000,17212.6100000,17038.0300000,17080.6500000,0
I.BSE_SEN,D,20080509,000000,17020.7900000,17125.9500000,16678.9400000,16737.0700000,0
I.BSE_SEN,D,20080512,000000,16641.4500000,16897.3600000,16546.5500000,16860.9000000,0
I.BSE_SEN,D,20080513,000000,17008.0300000,17085.6300000,16697.4700000,16752.8600000,0
I.BSE_SEN,D,20080514,000000,16691.3000000,17014.9400000,16626.3500000,16978.3500000,0
I.BSE_SEN,D,20080515,000000,17084.8900000,17359.9800000,17079.9400000,17353.5400000,0
I.BSE_SEN,D,20080516,000000,17476.4100000,17497.3600000,17315.5200000,17434.9400000,0
I.BSE_SEN,D,20080520,000000,17366.0500000,17367.1300000,17136.2600000,17230.1800000,0
I.BSE_SEN,D,20080521,000000,17065.6100000,17293.3400000,17041.6300000,17243.1600000,0
I.BSE_SEN,D,20080522,000000,17104.5900000,17104.5900000,16863.3800000,16907.1100000,0
I.BSE_SEN,D,20080523,000000,16958.8000000,17054.3400000,16626.1100000,16649.6400000,0
I.BSE_SEN,D,20080526,000000,16468.3200000,16498.2400000,16302.5100000,16348.5000000,0
I.BSE_SEN,D,20080527,000000,16454.7500000,16506.3500000,16237.9200000,16275.5900000,0
I.BSE_SEN,D,20080528,000000,16358.6200000,16563.3000000,16217.7800000,16525.3700000,0
I.BSE_SEN,D,20080529,000000,16666.0300000,16666.0300000,16196.0200000,16316.2600000,0
I.BSE_SEN,D,20080530,000000,16454.0300000,16540.4900000,16314.9900000,16415.5700000,0
I.BSE_SEN,D,20080602,000000,16591.4600000,16632.7200000,15991.2100000,16063.1800000,0
I.BSE_SEN,D,20080603,000000,15851.7200000,15985.4000000,15709.5100000,15962.5600000,0
I.BSE_SEN,D,20080604,000000,15992.9000000,15992.9000000,15442.3400000,15514.7900000,0
I.BSE_SEN,D,20080605,000000,15479.6500000,15814.8000000,15314.0200000,15769.7200000,0
I.BSE_SEN,D,20080606,000000,15914.4100000,15970.7000000,15526.5000000,15572.1800000,0
I.BSE_SEN,D,20080609,000000,15115.9700000,15202.7400000,14846.1800000,15066.1000000,0
I.BSE_SEN,D,20080610,000000,14979.9600000,15088.0300000,14645.3100000,14889.2500000,0
I.BSE_SEN,D,20080611,000000,15018.6800000,15225.8100000,15009.4800000,15185.3200000,0
I.BSE_SEN,D,20080612,000000,14957.5300000,15270.8500000,14748.0700000,15250.2000000,0
I.BSE_SEN,D,20080613,000000,15327.1000000,15337.1000000,15135.8100000,15189.6200000,0
I.BSE_SEN,D,20080616,000000,15400.5700000,15553.3700000,15340.3400000,15395.8200000,0
I.BSE_SEN,D,20080617,000000,15388.3600000,15732.7500000,15358.7500000,15696.9000000,0
I.BSE_SEN,D,20080618,000000,15744.2100000,15789.6200000,15390.2200000,15422.3100000,0
I.BSE_SEN,D,20080619,000000,15250.4700000,15259.3600000,15051.6600000,15087.9900000,0
