<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,D,20150701,000000,263.8300000,265.4500000,255.1200000,259.0200000,8225
BTSX.BTC/USD,D,20150702,000000,258.9600000,262.0000000,253.0000000,254.8500000,6260
BTSX.BTC/USD,D,20150703,000000,254.8600000,257.3700000,252.7700000,256.9500000,4759
BTSX.BTC/USD,D,20150704,000000,256.9400000,261.0000000,254.4000000,260.6400000,4034
BTSX.BTC/USD,D,20150705,000000,260.6400000,275.2500000,258.9900000,271.7400000,8420
BTSX.BTC/USD,D,20150706,000000,272.1700000,277.8800000,268.2700000,269.9400000,9984
BTSX.BTC/USD,D,20150707,000000,269.7800000,272.1100000,264.5000000,266.1800000,6946
BTSX.BTC/USD,D,20150708,000000,266.1800000,273.9700000,264.4100000,270.9700000,7763
BTSX.BTC/USD,D,20150709,000000,271.5000000,272.5000000,267.1000000,269.7500000,6942
BTSX.BTC/USD,D,20150710,000000,269.7700000,294.7100000,269.0000000,286.6700000,15862
BTSX.BTC/USD,D,20150711,000000,286.7100000,299.0000000,284.5000000,294.2300000,8476
BTSX.BTC/USD,D,20150712,000000,294.2900000,316.5200000,293.5000000,312.1600000,12896
BTSX.BTC/USD,D,20150713,000000,312.1900000,312.9100000,281.6200000,293.0800000,12942
BTSX.BTC/USD,D,20150714,000000,292.9300000,297.7800000,286.2500000,287.5100000,7114
BTSX.BTC/USD,D,20150715,000000,287.4800000,294.1100000,284.9800000,285.7000000,7552
BTSX.BTC/USD,D,20150716,000000,285.7000000,292.7800000,275.0000000,279.3800000,8576
BTSX.BTC/USD,D,20150717,000000,279.3800000,281.3800000,272.6400000,280.5800000,6967
BTSX.BTC/USD,D,20150718,000000,280.1400000,282.7100000,276.3400000,277.7100000,4245
BTSX.BTC/USD,D,20150719,000000,277.7100000,278.4800000,275.0000000,275.6100000,3441
BTSX.BTC/USD,D,20150720,000000,275.6000000,280.0000000,273.3400000,280.0000000,5450
BTSX.BTC/USD,D,20150721,000000,279.9600000,281.2700000,276.8500000,277.3200000,4910
BTSX.BTC/USD,D,20150722,000000,277.3300000,278.5400000,275.0100000,277.8900000,4651
BTSX.BTC/USD,D,20150723,000000,277.9600000,279.7500000,276.2800000,277.3900000,5262
BTSX.BTC/USD,D,20150724,000000,277.2300000,291.5200000,276.4300000,289.1200000,7323
BTSX.BTC/USD,D,20150725,000000,289.1200000,291.6700000,286.8200000,289.7000000,4053
BTSX.BTC/USD,D,20150726,000000,289.6800000,294.4900000,288.6500000,293.8900000,3682
BTSX.BTC/USD,D,20150727,000000,293.8800000,297.0000000,287.2400000,294.2100000,6432
BTSX.BTC/USD,D,20150728,000000,294.2200000,298.0000000,293.6500000,295.7600000,5746
BTSX.BTC/USD,D,20150729,000000,295.7400000,296.5800000,289.0100000,290.1900000,5194
BTSX.BTC/USD,D,20150730,000000,290.2600000,291.5600000,286.5600000,288.4900000,5080
BTSX.BTC/USD,D,20150731,000000,288.4900000,290.0000000,282.7900000,285.1900000,5637
BTSX.BTC/USD,D,20150801,000000,285.2000000,285.6000000,277.2600000,281.5300000,3890
BTSX.BTC/USD,D,20150802,000000,281.5300000,282.6200000,277.3300000,282.6200000,3325
BTSX.BTC/USD,D,20150803,000000,282.6200000,285.8600000,280.2700000,280.9500000,4745
BTSX.BTC/USD,D,20150804,000000,280.9500000,286.4700000,280.1100000,285.5100000,5559
BTSX.BTC/USD,D,20150805,000000,285.6000000,286.2500000,282.0100000,282.7700000,5740
BTSX.BTC/USD,D,20150806,000000,282.4400000,282.6100000,278.9500000,279.6500000,5020
BTSX.BTC/USD,D,20150807,000000,279.3700000,281.1700000,277.0500000,279.9400000,5175
BTSX.BTC/USD,D,20150808,000000,280.0600000,280.1600000,260.0700000,262.0200000,6058
BTSX.BTC/USD,D,20150809,000000,262.0200000,268.8000000,260.9700000,267.6300000,5029
BTSX.BTC/USD,D,20150810,000000,267.6000000,268.8900000,263.1700000,265.1500000,5442
BTSX.BTC/USD,D,20150811,000000,265.1500000,271.9900000,264.9100000,271.9900000,5764
BTSX.BTC/USD,D,20150812,000000,271.9900000,272.4000000,265.7900000,266.9400000,6308
BTSX.BTC/USD,D,20150813,000000,266.8100000,267.8200000,262.9400000,264.6700000,5304
BTSX.BTC/USD,D,20150814,000000,264.4800000,267.9800000,262.5000000,266.1700000,6837
BTSX.BTC/USD,D,20150815,000000,266.2100000,267.6900000,261.7700000,262.4600000,4074
BTSX.BTC/USD,D,20150816,000000,262.4500000,263.1000000,255.6700000,259.2000000,5471
BTSX.BTC/USD,D,20150817,000000,259.2000000,261.5700000,255.5800000,257.3100000,6930
BTSX.BTC/USD,D,20150818,000000,257.5600000,258.0400000,200.0000000,221.9900000,11522
BTSX.BTC/USD,D,20150819,000000,221.9900000,238.9900000,214.9100000,227.3400000,13300
BTSX.BTC/USD,D,20150820,000000,227.4600000,238.2000000,227.4500000,235.5600000,8796
BTSX.BTC/USD,D,20150821,000000,235.5600000,236.9900000,231.1500000,232.8500000,8285
BTSX.BTC/USD,D,20150822,000000,232.8500000,235.5300000,222.6800000,231.1500000,7144
BTSX.BTC/USD,D,20150823,000000,231.1600000,233.2500000,226.1500000,229.2100000,4271
BTSX.BTC/USD,D,20150824,000000,229.2300000,229.2400000,210.0000000,211.1600000,16522
BTSX.BTC/USD,D,20150825,000000,211.1600000,229.4900000,198.0200000,223.7300000,19666
BTSX.BTC/USD,D,20150826,000000,223.7300000,231.9700000,220.1600000,226.8100000,9706
BTSX.BTC/USD,D,20150827,000000,226.7200000,229.9900000,224.0000000,225.8000000,7836
BTSX.BTC/USD,D,20150828,000000,225.6200000,236.1800000,221.2000000,231.5500000,9109
BTSX.BTC/USD,D,20150829,000000,231.5500000,233.9500000,228.0000000,230.6100000,4436
BTSX.BTC/USD,D,20150830,000000,230.6100000,233.4700000,226.5900000,229.3900000,4954
BTSX.BTC/USD,D,20150831,000000,229.4000000,233.0000000,225.2300000,230.7500000,6956
