<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURGBP,D,20010216,000000,0.6281000,0.6331000,0.6265000,0.6319000,0
EURGBP,D,20010217,000000,0.6320000,0.6340000,0.6312000,0.6326000,0
EURGBP,D,20010218,000000,0.6326000,0.6326000,0.6326000,0.6326000,0
EURGBP,D,20010219,000000,0.6326000,0.6390000,0.6300000,0.6377000,0
EURGBP,D,20010220,000000,0.6373000,0.6389000,0.6285000,0.6303000,0
EURGBP,D,20010221,000000,0.6305000,0.6360000,0.6269000,0.6307000,0
EURGBP,D,20010222,000000,0.6308000,0.6328000,0.6244000,0.6270000,0
EURGBP,D,20010223,000000,0.6268000,0.6333000,0.6243000,0.6314000,0
EURGBP,D,20010224,000000,0.6313000,0.6329000,0.6300000,0.6327000,0
EURGBP,D,20010226,000000,0.6308000,0.6328000,0.6270000,0.6309000,0
EURGBP,D,20010227,000000,0.6312000,0.6384000,0.6294000,0.6361000,0
EURGBP,D,20010228,000000,0.6365000,0.6404000,0.6354000,0.6390000,0
EURGBP,D,20010301,000000,0.6388000,0.6419000,0.6381000,0.6394000,0
EURGBP,D,20010302,000000,0.6390000,0.6409000,0.6342000,0.6358000,0
EURGBP,D,20010303,000000,0.6355000,0.6387000,0.6349000,0.6382000,0
EURGBP,D,20010305,000000,0.6351000,0.6365000,0.6318000,0.6338000,0
EURGBP,D,20010306,000000,0.6339000,0.6374000,0.6310000,0.6367000,0
EURGBP,D,20010307,000000,0.6368000,0.6389000,0.6351000,0.6375000,0
EURGBP,D,20010313,000000,0.6335000,0.6354000,0.6285000,0.6307000,0
EURGBP,D,20010314,000000,0.6306000,0.6326000,0.6272000,0.6300000,0
EURGBP,D,20010315,000000,0.6302000,0.6318000,0.6230000,0.6250000,0
EURGBP,D,20010316,000000,0.6253000,0.6284000,0.6240000,0.6272000,0
EURGBP,D,20010317,000000,0.6261000,0.6277000,0.6257000,0.6270000,0
EURGBP,D,20010319,000000,0.6264000,0.6326000,0.6253000,0.6306000,0
EURGBP,D,20010320,000000,0.6298000,0.6351000,0.6292000,0.6323000,0
EURGBP,D,20010321,000000,0.6324000,0.6348000,0.6248000,0.6261000,0
EURGBP,D,20010322,000000,0.6256000,0.6281000,0.6215000,0.6241000,0
EURGBP,D,20010323,000000,0.6257000,0.6286000,0.6223000,0.6239000,0
EURGBP,D,20010324,000000,0.6234000,0.6254000,0.6232000,0.6232000,0
