<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20000407,000000,27.4162000,27.5250000,27.3474000,27.4715000,0
EURRUB,D,20000410,000000,27.3627000,27.5940000,27.3627000,27.4341000,0
EURRUB,D,20000411,000000,27.5257000,27.7370000,27.4217000,27.3854000,0
EURRUB,D,20000412,000000,27.4321000,27.5020000,27.2367000,27.2233000,0
EURRUB,D,20000413,000000,27.2879000,27.3364000,27.1910000,27.1415000,0
EURRUB,D,20000414,000000,27.1805000,27.3807000,27.1785000,27.2497000,0
EURRUB,D,20000417,000000,27.5054000,27.8320000,27.5054000,27.5460000,0
EURRUB,D,20000418,000000,27.3902000,27.4046000,27.2357000,26.9530000,0
EURRUB,D,20000419,000000,26.9530000,27.1337000,26.8521000,26.5150000,0
EURRUB,D,20000420,000000,26.9183000,27.0110000,26.8063000,26.8154000,0
EURRUB,D,20000424,000000,26.8142000,26.9835000,26.8142000,26.8390000,0
EURRUB,D,20000425,000000,26.8019000,26.8215000,26.3654000,26.1060000,0
EURRUB,D,20000426,000000,26.1674000,26.4090000,26.1010000,26.2493000,0
EURRUB,D,20000427,000000,26.2230000,26.3310000,25.9083000,25.5530000,0
EURRUB,D,20000428,000000,25.8975000,25.9789000,25.7221000,25.8167000,0
EURRUB,D,20000501,000000,25.8906000,25.9531000,25.8394000,25.8736000,0
EURRUB,D,20000502,000000,26.0498000,26.0583000,25.7597000,25.5420000,0
EURRUB,D,20000503,000000,25.5520000,25.8508000,24.7187000,25.2323000,0
EURRUB,D,20000504,000000,25.3584000,25.4595000,25.1495000,25.1270000,0
EURRUB,D,20000505,000000,25.3174000,25.5782000,25.3040000,25.4448000,0
EURRUB,D,20000508,000000,25.5640000,25.6748000,25.3567000,25.3620000,0
EURRUB,D,20000509,000000,25.4682000,25.6186000,25.4477000,25.5789000,0
EURRUB,D,20000510,000000,25.7321000,25.9310000,25.6953000,25.7678000,0
EURRUB,D,20000511,000000,25.5747000,25.9130000,25.4090000,25.5096000,0
EURRUB,D,20000512,000000,25.5261000,25.7200000,25.4365000,25.6550000,0
EURRUB,D,20000515,000000,25.9490000,25.9632000,25.6690000,25.6880000,0
EURRUB,D,20000516,000000,25.6623000,25.7360000,25.4140000,25.4270000,0
EURRUB,D,20000517,000000,25.4645000,25.5238000,25.2767000,25.2950000,0
EURRUB,D,20000518,000000,25.4066000,25.5120000,25.3028000,25.3667000,0
EURRUB,D,20000519,000000,25.3242000,25.5020000,24.8150000,25.3384000,0
EURRUB,D,20000522,000000,25.3945000,25.6092000,25.2390000,25.5696000,0
EURRUB,D,20000523,000000,25.5589000,26.1080000,25.5589000,25.6352000,0
EURRUB,D,20000524,000000,25.6523000,25.7852000,25.5837000,25.7400000,0
EURRUB,D,20000525,000000,25.5662000,25.7366000,25.4635000,25.6857000,0
EURRUB,D,20000526,000000,25.8102000,26.3061000,25.8090000,26.3061000,0
EURRUB,D,20000529,000000,26.1400000,26.2450000,26.1090000,26.2300000,0
EURRUB,D,20000530,000000,26.1446000,26.5640000,26.1446000,26.2898000,0
EURRUB,D,20000531,000000,26.2720000,26.5550000,26.2208000,26.2660000,0
EURRUB,D,20000601,000000,26.4561000,26.6620000,26.3314000,26.3525000,0
EURRUB,D,20000602,000000,26.3267000,26.9658000,26.3267000,26.7689000,0
EURRUB,D,20000605,000000,26.8144000,26.9040000,26.6727000,26.8152000,0
EURRUB,D,20000606,000000,26.7633000,27.1539000,26.7633000,26.9950000,0
EURRUB,D,20000607,000000,26.9756000,27.3290000,26.9756000,27.1160000,0
EURRUB,D,20000608,000000,27.1273000,27.3912000,26.9150000,26.9553000,0
EURRUB,D,20000609,000000,26.9779000,27.3010000,26.8806000,27.0234000,0
EURRUB,D,20000612,000000,26.9505000,27.0838000,26.9505000,27.0781000,0
EURRUB,D,20000613,000000,27.0366000,27.4780000,27.0366000,27.2653000,0
EURRUB,D,20000614,000000,27.2540000,27.5520000,27.1833000,27.2084000,0
EURRUB,D,20000615,000000,27.1316000,27.1691000,26.9484000,26.9756000,0
EURRUB,D,20000616,000000,26.9869000,27.3095000,26.8878000,27.2840000,0
EURRUB,D,20000619,000000,27.2874000,27.5730000,27.1445000,27.2150000,0
EURRUB,D,20000620,000000,27.0990000,27.1720000,26.9080000,26.8380000,0
EURRUB,D,20000621,000000,26.8665000,27.1800000,26.7009000,26.5560000,0
EURRUB,D,20000622,000000,26.7018000,26.8160000,26.4676000,26.4695000,0
EURRUB,D,20000623,000000,26.3765000,26.6570000,26.3596000,26.3503000,0
EURRUB,D,20000626,000000,26.3278000,26.3794000,26.1806000,26.3376000,0
EURRUB,D,20000627,000000,26.3489000,26.6670000,26.3489000,26.5180000,0
EURRUB,D,20000628,000000,26.5517000,26.8120000,26.4083000,26.4932000,0
EURRUB,D,20000629,000000,26.4323000,26.7687000,26.4185000,26.7235000,0
EURRUB,D,20000630,000000,26.7311000,26.9512000,26.7311000,26.8282000,0
EURRUB,D,20000703,000000,26.7541000,26.7720000,26.6488000,26.6100000,0
EURRUB,D,20000704,000000,26.6460000,26.6900000,26.5810000,26.6700000,0
EURRUB,D,20000705,000000,26.6941000,27.0880000,26.6941000,26.7586000,0
EURRUB,D,20000706,000000,26.6958000,26.8440000,26.6560000,26.6454000,0
EURRUB,D,20000707,000000,26.5866000,26.8950000,26.5057000,26.5593000,0
EURRUB,D,20000710,000000,26.5985000,26.9850000,26.5985000,26.6398000,0
EURRUB,D,20000711,000000,26.6890000,26.7354000,26.5195000,26.5173000,0
EURRUB,D,20000712,000000,26.5201000,26.7310000,26.1843000,26.1888000,0
EURRUB,D,20000713,000000,26.2190000,26.5090000,25.9952000,25.8280000,0
EURRUB,D,20000714,000000,25.9010000,26.1066000,25.9010000,26.1066000,0
EURRUB,D,20000717,000000,26.1177000,26.1491000,26.0039000,26.0113000,0
EURRUB,D,20000718,000000,26.0363000,26.1210000,25.7750000,25.5320000,0
EURRUB,D,20000719,000000,25.5850000,25.8700000,25.5057000,25.5883000,0
EURRUB,D,20000720,000000,25.5939000,25.6142000,25.3671000,25.5688000,0
EURRUB,D,20000721,000000,25.6541000,25.8915000,25.6338000,25.8092000,0
EURRUB,D,20000724,000000,25.8562000,26.0580000,25.7509000,25.7267000,0
EURRUB,D,20000725,000000,25.6050000,26.0737000,25.6050000,25.9934000,0
EURRUB,D,20000726,000000,26.0267000,26.1750000,25.9821000,26.0325000,0
EURRUB,D,20000727,000000,26.0767000,26.2930000,25.9363000,25.9176000,0
EURRUB,D,20000728,000000,25.8704000,25.9430000,25.7037000,25.7048000,0
EURRUB,D,20000731,000000,25.6770000,25.8885000,25.6732000,25.8142000,0
EURRUB,D,20000801,000000,25.8170000,26.0190000,25.7313000,25.7073000,0
EURRUB,D,20000802,000000,25.5401000,25.8000000,25.2836000,25.1910000,0
EURRUB,D,20000803,000000,25.4401000,25.4766000,25.0020000,25.0937000,0
EURRUB,D,20000804,000000,25.0770000,25.2500000,25.0149000,25.1577000,0
