<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20000407,000000,445.5000000,445.5000000,430.0000000,440.9900000,211445
LKOH,D,20000410,000000,439.0000000,453.7500000,439.0000000,449.1000000,151339
LKOH,D,20000411,000000,445.0000000,445.0000000,433.5000000,434.0000000,211169
LKOH,D,20000412,000000,438.0000000,441.3000000,432.0000000,438.0000000,76269
LKOH,D,20000413,000000,430.0000000,437.0000000,429.0000000,429.0000000,258358
LKOH,D,20000414,000000,428.6500000,437.9900000,420.1000000,425.0000000,126889
LKOH,D,20000417,000000,400.0000000,405.0000000,386.0100000,392.0000000,95765
LKOH,D,20000418,000000,407.0000000,412.0000000,382.0000000,389.9900000,166757
LKOH,D,20000419,000000,409.0000000,409.0000000,389.0000000,390.0000000,98318
LKOH,D,20000420,000000,387.0000000,403.1000000,387.0000000,402.5100000,43500
LKOH,D,20000421,000000,402.5000000,405.0000000,397.0000000,398.5100000,167391
LKOH,D,20000424,000000,394.0000000,397.0000000,382.0000000,388.4400000,62632
LKOH,D,20000425,000000,388.0000000,393.6000000,387.0000000,388.6000000,86818
LKOH,D,20000426,000000,399.9900000,415.0000000,396.0000000,407.2000000,156786
LKOH,D,20000427,000000,407.0000000,423.8900000,400.0000000,408.0000000,160499
LKOH,D,20000428,000000,421.0000000,428.4900000,417.2500000,428.4900000,119462
LKOH,D,20000503,000000,432.0000000,441.0000000,432.0000000,434.0000000,107865
LKOH,D,20000504,000000,432.1000000,434.7500000,429.2000000,432.7000000,84110
LKOH,D,20000505,000000,434.8000000,437.1000000,427.8000000,433.0000000,44777
LKOH,D,20000506,000000,438.0000000,441.9000000,436.0000000,439.0000000,59626
LKOH,D,20000510,000000,440.0000000,442.0000000,429.0000000,431.5000000,117153
LKOH,D,20000511,000000,425.0000000,429.5000000,419.0000000,427.0000000,63396
LKOH,D,20000512,000000,430.0000000,432.0000000,416.0000000,423.5000000,67633
LKOH,D,20000515,000000,420.0000000,420.0000000,412.0000000,415.5100000,57353
LKOH,D,20000516,000000,423.0000000,440.0000000,419.0000000,436.5000000,2101473
LKOH,D,20000517,000000,433.0000000,436.0000000,416.3000000,417.0500000,198744
LKOH,D,20000518,000000,410.0000000,417.5000000,395.0000000,409.0000000,235169
LKOH,D,20000519,000000,404.0000000,405.0000000,369.0000000,370.0000000,170275
LKOH,D,20000522,000000,372.0000000,378.5000000,365.0000000,370.5000000,161279
LKOH,D,20000523,000000,366.0000000,370.0000000,340.0000000,352.5000000,237182
LKOH,D,20000524,000000,340.0000000,351.0000000,300.0000000,341.0000000,267801
LKOH,D,20000525,000000,347.0000000,375.0000000,347.0000000,375.0000000,295310
LKOH,D,20000526,000000,360.0000000,394.0000000,360.0000000,384.0000000,155351
LKOH,D,20000529,000000,395.0000000,398.0000000,375.1000000,380.5000000,47494
LKOH,D,20000530,000000,384.0000000,389.2500000,375.5000000,383.0000000,70225
LKOH,D,20000531,000000,397.0000000,397.0000000,385.0000000,387.4900000,62880
LKOH,D,20000601,000000,390.9500000,400.0000000,385.5000000,397.0000000,93790
LKOH,D,20000602,000000,398.0100000,412.5000000,389.0000000,410.0000000,61148
LKOH,D,20000605,000000,406.0000000,427.0000000,405.0000000,415.0000000,199094
LKOH,D,20000606,000000,412.0000000,416.0000000,390.6000000,397.5000000,2227709
LKOH,D,20000607,000000,386.0000000,400.0000000,380.0000000,398.0000000,154340
LKOH,D,20000608,000000,405.1000000,410.0000000,400.0000000,400.0000000,123958
LKOH,D,20000609,000000,404.0000000,410.5000000,396.0000000,403.0000000,79638
LKOH,D,20000613,000000,400.0000000,404.0000000,392.5000000,392.5000000,49086
LKOH,D,20000614,000000,385.0000000,390.0000000,375.1000000,385.0000000,115647
LKOH,D,20000615,000000,386.0000000,392.9000000,385.0000000,385.0100000,52584
LKOH,D,20000616,000000,389.0000000,396.5000000,388.0000000,392.0000000,59877
LKOH,D,20000619,000000,387.8000000,387.9000000,382.0000000,384.0500000,26096
LKOH,D,20000620,000000,389.0000000,390.0000000,367.0000000,372.5000000,70862
LKOH,D,20000621,000000,367.0000000,370.0000000,354.0000000,364.0000000,240966
LKOH,D,20000622,000000,362.1000000,374.2000000,359.0000000,373.0000000,54313
LKOH,D,20000623,000000,370.0000000,390.0000000,365.1000000,377.5000000,96152
LKOH,D,20000626,000000,378.0000000,380.0000000,368.5000000,372.0000000,53811
LKOH,D,20000627,000000,372.0000000,372.0000000,353.0000000,355.0000000,150387
LKOH,D,20000628,000000,356.0000000,366.0000000,344.0000000,358.8000000,118632
LKOH,D,20000629,000000,355.0000000,355.0000000,338.2600000,340.0000000,57018
LKOH,D,20000630,000000,348.0000000,361.5000000,348.0000000,357.0000000,79276
LKOH,D,20000703,000000,360.0000000,369.4000000,355.0000000,369.0000000,59123
LKOH,D,20000704,000000,372.0000000,380.8000000,372.0000000,375.0000000,69904
LKOH,D,20000705,000000,372.0500000,372.0500000,365.0000000,367.0000000,92659
LKOH,D,20000706,000000,364.0000000,380.0000000,362.0000000,377.5000000,1584207
LKOH,D,20000707,000000,385.0000000,388.9900000,378.0500000,379.9000000,520045
LKOH,D,20000710,000000,380.0000000,387.0000000,376.6000000,378.0000000,245081
LKOH,D,20000711,000000,378.5500000,378.5500000,349.0000000,365.0000000,162872
LKOH,D,20000712,000000,368.1000000,374.0000000,360.0000000,373.7000000,202903
LKOH,D,20000713,000000,371.5000000,382.0000000,369.6000000,370.0000000,59647
LKOH,D,20000714,000000,368.0000000,371.0000000,361.0000000,368.0000000,57663
LKOH,D,20000717,000000,368.0000000,375.0000000,368.0000000,371.9000000,58257
LKOH,D,20000718,000000,369.9900000,372.8000000,363.0000000,366.5000000,136328
LKOH,D,20000719,000000,367.5000000,371.0000000,364.0000000,370.0000000,86778
