<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20031015,000000,129.0000000,129.0000000,127.5500000,127.6000000,51100
MTSS,D,20031016,000000,128.4800000,128.4900100,127.5200000,127.5200000,11400
MTSS,D,20031017,000000,128.4900100,130.0000000,128.4900100,129.3000000,27200
MTSS,D,20031020,000000,128.8500100,131.0000000,126.0000000,126.0000000,19300
MTSS,D,20031021,000000,125.5500000,128.0000000,123.0100000,123.0100000,10700
MTSS,D,20031022,000000,123.0000000,124.0000000,117.0200000,117.0200000,12300
MTSS,D,20031023,000000,121.9900000,122.0000000,117.0000000,117.0000000,13600
MTSS,D,20031027,000000,113.0000000,113.0000000,113.0000000,113.0000000,100
MTSS,D,20031028,000000,116.0000000,122.0000000,116.0000000,120.0000000,9200
MTSS,D,20031029,000000,121.0000000,121.0000000,119.0000000,119.0000000,20600
MTSS,D,20031030,000000,118.0000000,118.0000000,112.0100000,117.8800000,4500
MTSS,D,20031031,000000,115.0000000,115.0000000,114.0000000,114.0000000,4200
MTSS,D,20031103,000000,115.0000000,119.0000000,115.0000000,119.0000000,900
MTSS,D,20031104,000000,121.0000000,123.4900000,120.0000000,122.0000000,2000
MTSS,D,20031106,000000,119.1900000,119.1900000,119.1900000,119.1900000,100
MTSS,D,20031110,000000,121.0000000,121.5000000,121.0000000,121.5000000,10300
MTSS,D,20031111,000000,121.0000000,121.0000000,120.0200000,121.0000000,1900
MTSS,D,20031112,000000,119.0000000,120.0000000,119.0000000,120.0000000,10000
MTSS,D,20031113,000000,120.5000000,120.5000000,119.0000000,119.0000000,17400
MTSS,D,20031114,000000,120.5000000,120.5000000,120.5000000,120.5000000,200
MTSS,D,20031118,000000,109.0000000,109.0000000,109.0000000,109.0000000,1000
MTSS,D,20031119,000000,114.5000000,114.5000000,114.5000000,114.5000000,100
MTSS,D,20031121,000000,117.0000000,117.0000000,110.0000000,110.0000000,1000
MTSS,D,20031124,000000,113.5000000,116.9900000,113.5000000,116.9900000,200
MTSS,D,20031126,000000,118.8000000,118.8000000,115.0000000,118.0000000,152400
MTSS,D,20031127,000000,118.0000000,118.0000000,118.0000000,118.0000000,3000
MTSS,D,20031128,000000,116.0000000,117.0000000,116.0000000,117.0000000,5200
MTSS,D,20031201,000000,119.5000000,120.0000000,119.5000000,120.0000000,1100
MTSS,D,20031202,000000,121.5000000,123.0000000,121.5000000,123.0000000,5400
MTSS,D,20031203,000000,120.0000000,120.0000000,116.0000000,116.0000000,2800
MTSS,D,20031205,000000,115.5000000,115.5000000,115.0000000,115.0000000,1200
MTSS,D,20031209,000000,117.0000000,120.0000000,117.0000000,120.0000000,6700
MTSS,D,20031210,000000,117.0100000,119.0000000,116.0000000,117.0000000,58000
MTSS,D,20031211,000000,116.6700000,116.6700000,113.5000000,115.0000000,377900
MTSS,D,20031215,000000,115.0000000,115.0000000,114.0000000,114.0000000,72300
MTSS,D,20031216,000000,111.0100000,112.0000000,110.0000000,110.0000000,5000
MTSS,D,20031217,000000,111.0000000,111.9800000,111.0000000,111.9800000,500
MTSS,D,20031218,000000,111.5000000,112.0000000,111.0000000,111.8000000,2600
MTSS,D,20031219,000000,112.5000000,114.8000000,112.5000000,112.5000000,1500
MTSS,D,20031222,000000,114.9000000,114.9000000,114.9000000,114.9000000,100
MTSS,D,20031223,000000,114.0000000,114.0000000,114.0000000,114.0000000,100
MTSS,D,20031224,000000,114.9000000,123.0000000,114.0000000,114.6000000,9500
MTSS,D,20031225,000000,113.9900000,113.9900000,113.9900000,113.9900000,800
MTSS,D,20031226,000000,114.0000000,114.0000000,114.0000000,114.0000000,600
MTSS,D,20031229,000000,111.8500000,114.0000000,104.0000000,113.5000000,12700
MTSS,D,20031230,000000,113.0000000,113.0000000,113.0000000,113.0000000,1000
MTSS,D,20040105,000000,117.1100000,125.0000000,117.1100000,125.0000000,19300
MTSS,D,20040106,000000,123.0000000,128.0000000,123.0000000,127.0000000,22400
MTSS,D,20040108,000000,126.8000000,129.2000000,125.5000000,129.2000000,8700
MTSS,D,20040109,000000,129.0000000,130.0000000,128.0000000,128.6000100,10200
MTSS,D,20040112,000000,128.0099900,130.0000000,124.1000000,126.0000000,8483
MTSS,D,20040113,000000,127.9900000,128.0000000,125.5000000,126.0000000,13025
MTSS,D,20040114,000000,127.0000000,127.5000000,126.5000000,127.0000000,20244
MTSS,D,20040115,000000,125.5000000,125.5000000,121.0000000,123.0000000,10454
MTSS,D,20040116,000000,124.7400000,125.0000000,123.5100000,125.0000000,11259
MTSS,D,20040119,000000,125.9000000,126.0000000,125.0000000,126.0000000,1112
MTSS,D,20040120,000000,126.0000000,127.0000000,125.5000000,126.0000000,81921
MTSS,D,20040121,000000,128.0700100,131.3999900,128.0700100,129.5000000,34536
MTSS,D,20040122,000000,132.7100100,140.8999900,132.0000000,140.5000000,63471
MTSS,D,20040123,000000,138.0000000,145.0000000,135.0000000,140.0000000,57802
MTSS,D,20040126,000000,140.0000000,141.0000000,135.0000000,136.5000000,24341
MTSS,D,20040127,000000,138.3000000,141.5000000,137.0000000,140.0000000,29979
MTSS,D,20040128,000000,136.1000100,145.0000000,136.0000000,139.0000000,14721
MTSS,D,20040129,000000,138.0000000,140.0000000,136.0099900,139.0000000,6493
MTSS,D,20040130,000000,136.2300000,139.0000000,135.0099900,135.7000000,14363
MTSS,D,20040202,000000,138.0000000,139.3999900,136.5000000,138.0000000,6916
MTSS,D,20040203,000000,139.8100000,139.8100000,138.0000000,139.5500000,2882
MTSS,D,20040204,000000,139.5500000,143.0000000,139.0099900,139.0099900,11543
MTSS,D,20040205,000000,140.0000000,140.0000000,137.0000000,137.0000000,9848
MTSS,D,20040206,000000,135.0300000,138.0000000,135.0200000,138.0000000,4037
