<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
N225JAP,D,20020115,000000,10359.4400000,10359.4400000,10208.0500000,10208.0500000,0
N225JAP,D,20020117,000000,10228.9900000,10228.9900000,10078.6000000,10128.1800000,0
N225JAP,D,20020118,000000,10151.4300000,10293.3200000,10151.4300000,10293.3200000,0
N225JAP,D,20020121,000000,10169.8000000,10376.7400000,10169.8000000,10280.2500000,0
N225JAP,D,20020122,000000,10249.6800000,10262.6100000,10050.9800000,10050.9800000,0
N225JAP,D,20020125,000000,10080.1800000,10144.1400000,10045.0300000,10144.1400000,0
N225JAP,D,20020129,000000,10191.7500000,10191.7500000,10026.0300000,10026.0300000,0
N225JAP,D,20020130,000000,9921.7300000,9938.3300000,9843.1200000,9896.0200000,0
N225JAP,D,20020131,000000,9962.3500000,10012.1500000,9896.8400000,9997.8000000,0
N225JAP,D,20020201,000000,10026.9600000,10032.2500000,9735.0500000,9791.4300000,0
N225JAP,D,20020205,000000,9577.1700000,9683.9300000,9473.4600000,9475.6000000,0
N225JAP,D,20020206,000000,9494.6200000,9602.5200000,9420.8500000,9420.8500000,0
N225JAP,D,20020207,000000,9481.0900000,9634.7900000,9458.7000000,9583.2700000,0
N225JAP,D,20020208,000000,9564.7500000,9753.7500000,9538.4500000,9686.0600000,0
N225JAP,D,20020219,000000,10113.6900000,10129.3400000,9847.1600000,9847.1600000,0
N225JAP,D,20020225,000000,10394.7300000,10446.2800000,10289.8300000,10296.4700000,0
N225JAP,D,20020226,000000,10405.4600000,10458.8700000,10183.5200000,10202.6300000,0
N225JAP,D,20020227,000000,10268.8700000,10573.0900000,10268.8700000,10573.0900000,0
N225JAP,D,20020228,000000,10587.8300000,10587.8300000,10587.8300000,10587.8300000,0
N225JAP,D,20020301,000000,10641.3600000,10813.4500000,10540.3100000,10812.0000000,0
N225JAP,D,20020304,000000,10942.5000000,11450.2200000,10941.3600000,11450.2200000,0
N225JAP,D,20020305,000000,11529.2100000,11602.7500000,11348.4500000,11348.4500000,0
N225JAP,D,20020306,000000,11375.8700000,11648.3800000,11358.5300000,11358.5300000,0
N225JAP,D,20020307,000000,11473.6300000,11690.3600000,11472.8800000,11648.3400000,0
N225JAP,D,20020308,000000,11710.2000000,12010.2500000,11634.3100000,11885.7900000,0
N225JAP,D,20020311,000000,11941.9200000,12034.0400000,11772.8600000,11919.3000000,0
N225JAP,D,20020312,000000,11863.7100000,11912.2900000,11607.3300000,11607.3300000,0
N225JAP,D,20020313,000000,11548.2400000,11774.1800000,11415.3100000,11415.3100000,0
N225JAP,D,20020314,000000,11471.8300000,11568.8200000,11347.2500000,11568.8200000,0
N225JAP,D,20020315,000000,11594.8700000,11709.4400000,11537.8900000,11648.0100000,0
N225JAP,D,20020318,000000,11745.8100000,11789.4600000,11477.6800000,11498.3800000,0
N225JAP,D,20020319,000000,11597.8600000,11792.8200000,11597.8600000,11792.8200000,0
N225JAP,D,20020320,000000,11833.9700000,11833.9700000,11503.7900000,11526.7800000,0
N225JAP,D,20020322,000000,11460.9500000,11519.6800000,11326.2200000,11345.0800000,0
N225JAP,D,20020325,000000,11339.0600000,11378.7800000,11166.9200000,11261.0900000,0
N225JAP,D,20020326,000000,11214.2500000,11524.2300000,11165.0000000,11207.9200000,0
N225JAP,D,20020327,000000,11251.7000000,11421.0100000,11190.3900000,11323.6800000,0
N225JAP,D,20020328,000000,11313.5600000,11348.2200000,11240.9900000,11333.1100000,0
N225JAP,D,20020329,000000,11350.3500000,11389.6000000,11024.9400000,11024.9400000,0
N225JAP,D,20020401,000000,11106.0700000,11148.5000000,11007.6300000,11028.7000000,0
N225JAP,D,20020402,000000,11142.8300000,11156.1200000,11061.3800000,11120.1100000,0
N225JAP,D,20020403,000000,11103.7200000,11476.9400000,11042.2500000,11400.7100000,0
N225JAP,D,20020404,000000,11430.2500000,11537.1300000,11336.2000000,11379.2000000,0
N225JAP,D,20020405,000000,11366.4000000,11412.9900000,11301.9500000,11335.4900000,0
N225JAP,D,20020408,000000,11321.2800000,11430.0300000,11265.1800000,11352.8900000,0
N225JAP,D,20020409,000000,11337.4900000,11363.2000000,11113.0800000,11114.4900000,0
N225JAP,D,20020410,000000,11265.2500000,11265.2500000,11135.3500000,11218.5800000,0
N225JAP,D,20020411,000000,11222.1400000,11226.7200000,11147.2700000,11147.2700000,0
N225JAP,D,20020412,000000,11074.3000000,11090.5800000,10896.1200000,10962.9800000,0
N225JAP,D,20020415,000000,11066.4100000,11138.7000000,11021.3400000,11137.3000000,0
N225JAP,D,20020416,000000,11260.1500000,11346.6600000,11245.7400000,11346.6600000,0
N225JAP,D,20020417,000000,11448.2200000,11544.8300000,11448.2200000,11543.7100000,0
N225JAP,D,20020418,000000,11583.1600000,11603.5500000,11485.0900000,11575.7300000,0
N225JAP,D,20020419,000000,11434.8300000,11525.8800000,11386.7200000,11512.0100000,0
N225JAP,D,20020422,000000,11659.5400000,11765.0500000,11639.8000000,11721.6400000,0
N225JAP,D,20020423,000000,11724.8800000,11812.9900000,11708.4400000,11736.8300000,0
N225JAP,D,20020424,000000,11682.9900000,11748.7700000,11667.5300000,11672.8800000,0
N225JAP,D,20020425,000000,11633.8700000,11657.2600000,11583.0700000,11648.7200000,0
N225JAP,D,20020426,000000,11527.6200000,11555.8700000,11464.5900000,11541.3900000,0
N225JAP,D,20020430,000000,11461.7100000,11520.4700000,11452.2500000,11492.5400000,0
N225JAP,D,20020501,000000,11554.0100000,11581.7900000,11528.2900000,11552.7900000,0
N225JAP,D,20020502,000000,11543.5900000,11558.2900000,11525.2500000,11551.0100000,0
N225JAP,D,20020507,000000,11305.5800000,11324.7900000,11250.8600000,11316.0400000,0
N225JAP,D,20020508,000000,11555.3800000,11555.3800000,11473.9000000,11520.7500000,0
N225JAP,D,20020509,000000,11674.9200000,11684.9800000,11620.5200000,11633.3000000,0
N225JAP,D,20020510,000000,11563.4200000,11587.4300000,11529.4800000,11531.1100000,0
N225JAP,D,20020513,000000,11322.6500000,11366.5600000,11322.6500000,11336.9500000,0
N225JAP,D,20020514,000000,11404.7800000,11417.1200000,11336.8100000,11356.1900000,0
N225JAP,D,20020515,000000,11596.0600000,11693.9100000,11581.7600000,11642.9700000,0
N225JAP,D,20020516,000000,11625.3100000,11747.3500000,11613.4200000,11738.6900000,0
N225JAP,D,20020517,000000,11830.8300000,11878.3700000,11817.6500000,11847.3200000,0
N225JAP,D,20020520,000000,11893.4900000,11942.9100000,11856.5400000,11856.5400000,0
N225JAP,D,20020521,000000,11792.6000000,11813.0500000,11765.2100000,11801.1600000,0
N225JAP,D,20020522,000000,11909.1600000,11961.9800000,11876.5000000,11961.9800000,0
N225JAP,D,20020523,000000,12001.8600000,12017.5700000,11936.8700000,11979.8500000,0
N225JAP,D,20020524,000000,11905.1600000,12001.0400000,11892.3300000,11976.2800000,0
N225JAP,D,20020527,000000,12042.7100000,12042.7100000,11976.3500000,11976.3500000,0
N225JAP,D,20020528,000000,11919.5200000,11938.2300000,11893.9300000,11936.0800000,0
N225JAP,D,20020529,000000,11880.4500000,11887.7300000,11837.3400000,11853.0000000,0
N225JAP,D,20020530,000000,11726.5700000,11788.3500000,11680.5800000,11770.0300000,0
N225JAP,D,20020531,000000,11873.7400000,11875.7900000,11761.9300000,11763.7000000,0
