<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQCOMP,D,20000407,000000,4354.1300000,4446.4500000,4323.1800000,4446.4500000,0
NASDAQCOMP,D,20000410,000000,4475.2000000,4475.2000000,4188.1700000,4188.2000000,0
NASDAQCOMP,D,20000411,000000,4094.6100000,4182.9600000,4009.5200000,4055.9000000,0
NASDAQCOMP,D,20000412,000000,4050.3200000,4077.9200000,3769.1700000,3769.6300000,0
NASDAQCOMP,D,20000413,000000,3839.5600000,3914.6800000,3676.6700000,3676.7800000,0
NASDAQCOMP,D,20000414,000000,3597.4400000,3615.6400000,3265.9800000,3321.2900000,0
NASDAQCOMP,D,20000417,000000,3232.9400000,3539.7700000,3227.0400000,3539.1600000,0
NASDAQCOMP,D,20000418,000000,3596.1500000,3794.9700000,3563.8300000,3793.5700000,0
NASDAQCOMP,D,20000419,000000,3832.6500000,3851.5600000,3698.3300000,3706.4100000,0
NASDAQCOMP,D,20000420,000000,3735.0800000,3751.3300000,3599.6800000,3643.8800000,0
NASDAQCOMP,D,20000424,000000,3466.6900000,3496.8200000,3345.2500000,3482.4800000,0
NASDAQCOMP,D,20000425,000000,3592.7300000,3711.5700000,3583.9200000,3711.2300000,0
NASDAQCOMP,D,20000426,000000,3728.9900000,3777.0800000,3629.3600000,3630.0900000,0
NASDAQCOMP,D,20000427,000000,3519.1300000,3774.1100000,3513.7600000,3774.0300000,0
NASDAQCOMP,D,20000428,000000,3830.6100000,3873.8500000,3774.0300000,3860.6600000,0
NASDAQCOMP,D,20000501,000000,3930.1800000,3982.3800000,3899.7100000,3958.0800000,0
NASDAQCOMP,D,20000502,000000,3927.9200000,3948.6300000,3784.5400000,3785.4500000,0
NASDAQCOMP,D,20000503,000000,3755.3000000,3787.4300000,3592.7900000,3707.3100000,0
NASDAQCOMP,D,20000504,000000,3723.2700000,3762.4700000,3679.4300000,3720.2400000,0
NASDAQCOMP,D,20000505,000000,3694.2800000,3818.4000000,3694.2800000,3816.8200000,0
NASDAQCOMP,D,20000508,000000,3758.4600000,3765.2200000,3669.1100000,3669.3800000,0
NASDAQCOMP,D,20000509,000000,3704.8500000,3708.7400000,3540.8200000,3585.0100000,0
NASDAQCOMP,D,20000510,000000,3525.0200000,3584.8300000,3367.0600000,3384.7300000,0
NASDAQCOMP,D,20000511,000000,3450.0600000,3502.5300000,3384.7300000,3499.5800000,0
NASDAQCOMP,D,20000512,000000,3546.2400000,3619.6900000,3523.2000000,3529.0600000,0
