<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LME.Nickel,D,20000407,000000,10015.0000000,10015.0000000,9780.0000000,9320.0000000,0
LME.Nickel,D,20000410,000000,10015.0000000,10015.0000000,9780.0000000,9540.0000000,0
LME.Nickel,D,20000411,000000,10015.0000000,10015.0000000,9780.0000000,9943.0000000,0
LME.Nickel,D,20000412,000000,10015.0000000,10015.0000000,9780.0000000,9870.0000000,0
LME.Nickel,D,20000413,000000,10015.0000000,10015.0000000,9780.0000000,9910.0000000,0
LME.Nickel,D,20000414,000000,10015.0000000,10015.0000000,9780.0000000,9575.0000000,0
LME.Nickel,D,20000417,000000,10015.0000000,10015.0000000,9780.0000000,9575.0000000,0
LME.Nickel,D,20000418,000000,10015.0000000,10015.0000000,9780.0000000,9575.0000000,0
LME.Nickel,D,20000419,000000,9725.0000000,9773.0000000,9430.0000000,9580.0000000,0
LME.Nickel,D,20000420,000000,9420.0000000,9520.0000000,9420.0000000,9540.0000000,0
LME.Nickel,D,20000421,000000,9420.0000000,9520.0000000,9420.0000000,9540.0000000,0
LME.Nickel,D,20000424,000000,9420.0000000,9520.0000000,9420.0000000,9540.0000000,0
LME.Nickel,D,20000425,000000,9530.0000000,9562.5000000,9440.0000000,9510.0000000,0
LME.Nickel,D,20000426,000000,9555.0000000,10005.0000000,9555.0000000,10036.0000000,0
LME.Nickel,D,20000427,000000,9985.0000000,9995.0000000,9675.0000000,9927.0000000,0
LME.Nickel,D,20000428,000000,9975.0000000,10045.0000000,9795.0000000,10035.0000000,0
LME.Nickel,D,20000501,000000,9975.0000000,10045.0000000,9795.0000000,10045.0000000,0
LME.Nickel,D,20000502,000000,10015.0000000,10060.0000000,9757.5000000,10035.0000000,0
LME.Nickel,D,20000503,000000,10015.0000000,10060.0000000,9757.5000000,9915.0000000,0
LME.Nickel,D,20000504,000000,10015.0000000,10060.0000000,9757.5000000,9830.0000000,0
LME.Nickel,D,20000505,000000,10015.0000000,10060.0000000,9757.5000000,9920.0000000,0
LME.Nickel,D,20000508,000000,10015.0000000,10060.0000000,9757.5000000,9880.0000000,0
LME.Nickel,D,20000509,000000,10015.0000000,10060.0000000,9757.5000000,9965.0000000,0
LME.Nickel,D,20000510,000000,10015.0000000,10060.0000000,9757.5000000,10000.0000000,0
LME.Nickel,D,20000511,000000,10015.0000000,10060.0000000,9757.5000000,9892.0000000,0
LME.Nickel,D,20000512,000000,10015.0000000,10060.0000000,9757.5000000,10115.0000000,0
LME.Nickel,D,20000515,000000,10015.0000000,10060.0000000,9757.5000000,10115.0000000,0
LME.Nickel,D,20000516,000000,10015.0000000,10060.0000000,9757.5000000,10115.0000000,0
LME.Nickel,D,20000517,000000,10460.0000000,10540.0000000,10440.0000000,10490.0000000,0
LME.Nickel,D,20000518,000000,10480.0000000,10610.0000000,10420.0000000,10600.0000000,0
LME.Nickel,D,20000519,000000,10645.0000000,10665.0000000,10517.5000000,10525.0000000,0
LME.Nickel,D,20000522,000000,10540.0000000,10572.5000000,10363.0000000,10418.0000000,0
LME.Nickel,D,20000523,000000,10370.0000000,10535.0000000,10370.0000000,10450.0000000,0
LME.Nickel,D,20000524,000000,10660.0000000,10660.0000000,10485.0000000,10540.0000000,0
LME.Nickel,D,20000525,000000,10485.0000000,10490.0000000,10382.5000000,10440.0000000,0
LME.Nickel,D,20000526,000000,10305.0000000,10402.5000000,10275.0000000,10330.0000000,0
LME.Nickel,D,20000529,000000,10305.0000000,10402.5000000,10275.0000000,10402.5000000,0
LME.Nickel,D,20000530,000000,9600.0000000,9670.0000000,8775.0000000,9170.0000000,0
LME.Nickel,D,20000531,000000,9225.0000000,9275.0000000,9050.0000000,9110.0000000,0
LME.Nickel,D,20000601,000000,9127.5000000,9450.0000000,8937.5000000,9440.0000000,0
LME.Nickel,D,20000602,000000,9565.0000000,9920.0000000,9505.0000000,9489.0000000,0
LME.Nickel,D,20000605,000000,9285.0000000,9335.0000000,9210.0000000,9325.0000000,0
LME.Nickel,D,20000606,000000,9360.0000000,9472.5000000,9215.0000000,9203.0000000,0
LME.Nickel,D,20000607,000000,9360.0000000,9472.5000000,9215.0000000,8450.0000000,0
LME.Nickel,D,20000608,000000,9360.0000000,9472.5000000,9215.0000000,8670.0000000,0
LME.Nickel,D,20000609,000000,9360.0000000,9472.5000000,9215.0000000,8515.0000000,0
LME.Nickel,D,20000612,000000,9360.0000000,9472.5000000,9215.0000000,8110.0000000,0
LME.Nickel,D,20000613,000000,9360.0000000,9472.5000000,9215.0000000,8345.0000000,0
LME.Nickel,D,20000614,000000,9360.0000000,9472.5000000,9215.0000000,8185.0000000,0
LME.Nickel,D,20000615,000000,9360.0000000,9472.5000000,9215.0000000,8402.0000000,0
LME.Nickel,D,20000616,000000,9360.0000000,9472.5000000,9215.0000000,8070.0000000,0
LME.Nickel,D,20000619,000000,9360.0000000,9472.5000000,9215.0000000,8070.0000000,0
LME.Nickel,D,20000620,000000,9360.0000000,9472.5000000,9215.0000000,8070.0000000,0
LME.Nickel,D,20000621,000000,7900.0000000,7900.0000000,7715.0000000,7810.0000000,0
LME.Nickel,D,20000622,000000,7760.0000000,8017.5000000,7760.0000000,8055.0000000,0
LME.Nickel,D,20000623,000000,7980.0000000,8015.0000000,7755.0000000,7800.0000000,0
LME.Nickel,D,20000626,000000,7805.0000000,7937.5000000,7800.0000000,7898.0000000,0
LME.Nickel,D,20000627,000000,7965.0000000,8095.0000000,7932.5000000,7940.0000000,0
LME.Nickel,D,20000628,000000,7925.0000000,8030.0000000,7925.0000000,8038.0000000,0
LME.Nickel,D,20000629,000000,8025.0000000,8175.0000000,7995.0000000,8175.0000000,0
LME.Nickel,D,20000630,000000,8245.0000000,8330.0000000,8232.5000000,8282.0000000,0
LME.Nickel,D,20000703,000000,8235.0000000,8310.0000000,8187.0000000,8290.0000000,0
LME.Nickel,D,20000704,000000,8275.0000000,8315.0000000,8177.5000000,8185.0000000,0
LME.Nickel,D,20000705,000000,8275.0000000,8315.0000000,8177.5000000,8370.0000000,0
LME.Nickel,D,20000706,000000,8275.0000000,8315.0000000,8177.5000000,8370.0000000,0
LME.Nickel,D,20000707,000000,8275.0000000,8315.0000000,8177.5000000,8380.0000000,0
LME.Nickel,D,20000710,000000,8275.0000000,8315.0000000,8177.5000000,8420.0000000,0
LME.Nickel,D,20000711,000000,8275.0000000,8315.0000000,8177.5000000,8490.0000000,0
LME.Nickel,D,20000712,000000,8275.0000000,8315.0000000,8177.5000000,8425.0000000,0
LME.Nickel,D,20000713,000000,8275.0000000,8315.0000000,8177.5000000,8403.0000000,0
LME.Nickel,D,20000714,000000,8275.0000000,8315.0000000,8177.5000000,8091.5000000,0
LME.Nickel,D,20000717,000000,8275.0000000,8315.0000000,8177.5000000,8091.5000000,0
LME.Nickel,D,20000718,000000,8275.0000000,8315.0000000,8177.5000000,8091.5000000,0
LME.Nickel,D,20000719,000000,8170.0000000,8300.0000000,8165.0000000,8290.0000000,0
LME.Nickel,D,20000720,000000,8270.0000000,8295.0000000,8175.0000000,8200.0000000,0
LME.Nickel,D,20000721,000000,8200.0000000,8200.0000000,7995.0000000,8120.0000000,0
LME.Nickel,D,20000724,000000,8116.0000000,8275.0000000,8060.0000000,8245.0000000,0
LME.Nickel,D,20000725,000000,8295.0000000,8323.0000000,8170.0000000,8165.0000000,0
LME.Nickel,D,20000726,000000,8185.0000000,8195.0000000,7765.0000000,7810.0000000,0
LME.Nickel,D,20000727,000000,7735.0000000,7910.0000000,7730.0000000,7870.0000000,0
LME.Nickel,D,20000728,000000,7875.0000000,7875.0000000,7660.0000000,7685.0000000,0
LME.Nickel,D,20000731,000000,7615.0000000,7835.0000000,7575.0000000,7815.0000000,0
LME.Nickel,D,20000801,000000,7795.0000000,7795.0000000,7630.0000000,7645.0000000,0
LME.Nickel,D,20000802,000000,7795.0000000,7795.0000000,7630.0000000,7635.0000000,0
LME.Nickel,D,20000803,000000,7795.0000000,7795.0000000,7630.0000000,7507.0000000,0
LME.Nickel,D,20000804,000000,7795.0000000,7795.0000000,7630.0000000,7460.0000000,0
LME.Nickel,D,20000807,000000,7795.0000000,7795.0000000,7630.0000000,7465.0000000,0
LME.Nickel,D,20000808,000000,7795.0000000,7795.0000000,7630.0000000,7514.0000000,0
LME.Nickel,D,20000809,000000,7795.0000000,7795.0000000,7630.0000000,7440.0000000,0
LME.Nickel,D,20000810,000000,7795.0000000,7795.0000000,7630.0000000,7557.0000000,0
LME.Nickel,D,20000811,000000,7795.0000000,7795.0000000,7630.0000000,7722.0000000,0
LME.Nickel,D,20000814,000000,7795.0000000,7795.0000000,7630.0000000,7722.0000000,0
LME.Nickel,D,20000815,000000,7795.0000000,7795.0000000,7630.0000000,7722.0000000,0
LME.Nickel,D,20000816,000000,7953.0000000,8007.5000000,7940.0000000,7950.0000000,0
LME.Nickel,D,20000817,000000,7955.0000000,7955.0000000,7895.0000000,7945.0000000,0
LME.Nickel,D,20000818,000000,7960.0000000,8028.0000000,7960.0000000,8010.0000000,0
LME.Nickel,D,20000821,000000,8027.5000000,8027.5000000,7942.5000000,7955.0000000,0
LME.Nickel,D,20000822,000000,7955.0000000,8360.0000000,7955.0000000,8365.0000000,0
LME.Nickel,D,20000823,000000,8340.0000000,8590.0000000,8340.0000000,8500.0000000,0
LME.Nickel,D,20000824,000000,8435.0000000,8557.5000000,8435.0000000,8495.0000000,0
LME.Nickel,D,20000825,000000,8485.0000000,8590.0000000,8485.0000000,8595.0000000,0
LME.Nickel,D,20000828,000000,8485.0000000,8590.0000000,8485.0000000,8595.0000000,0
LME.Nickel,D,20000829,000000,8580.0000000,8770.0000000,8580.0000000,8735.0000000,0
LME.Nickel,D,20000830,000000,8870.0000000,8995.0000000,8772.5000000,8800.0000000,0
LME.Nickel,D,20000831,000000,8695.0000000,8785.0000000,8685.0000000,8685.0000000,0
LME.Nickel,D,20000901,000000,8570.0000000,8615.0000000,8530.0000000,8520.0000000,0
LME.Nickel,D,20000904,000000,8535.0000000,8535.0000000,8415.0000000,8410.0000000,0
LME.Nickel,D,20000905,000000,8655.0000000,8660.0000000,8555.0000000,8555.0000000,0
LME.Nickel,D,20000906,000000,8655.0000000,8660.0000000,8555.0000000,8415.0000000,0
LME.Nickel,D,20000907,000000,8655.0000000,8660.0000000,8555.0000000,8422.0000000,0
LME.Nickel,D,20000908,000000,8655.0000000,8660.0000000,8555.0000000,8710.0000000,0
LME.Nickel,D,20000911,000000,8655.0000000,8660.0000000,8555.0000000,8700.0000000,0
LME.Nickel,D,20000912,000000,8655.0000000,8660.0000000,8555.0000000,8770.0000000,0
LME.Nickel,D,20000913,000000,8655.0000000,8660.0000000,8555.0000000,8690.0000000,0
LME.Nickel,D,20000914,000000,8655.0000000,8660.0000000,8555.0000000,8665.0000000,0
LME.Nickel,D,20000915,000000,8655.0000000,8660.0000000,8555.0000000,8635.0000000,0
LME.Nickel,D,20000918,000000,8655.0000000,8660.0000000,8555.0000000,8635.0000000,0
LME.Nickel,D,20000919,000000,8655.0000000,8660.0000000,8555.0000000,8635.0000000,0
LME.Nickel,D,20000920,000000,8445.0000000,8465.0000000,8300.0000000,8635.0000000,0
LME.Nickel,D,20000921,000000,8405.0000000,8635.0000000,8375.0000000,8635.0000000,0
LME.Nickel,D,20000922,000000,8615.0000000,8740.0000000,8575.0000000,8635.0000000,0
LME.Nickel,D,20000925,000000,8755.0000000,8795.0000000,8698.0000000,8635.0000000,0
LME.Nickel,D,20000926,000000,8805.0000000,8850.0000000,8800.0000000,8635.0000000,0
LME.Nickel,D,20000927,000000,8745.0000000,8875.0000000,8730.0000000,8635.0000000,0
LME.Nickel,D,20000928,000000,8640.0000000,8650.0000000,8575.0000000,8635.0000000,0
