<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,D,20060418,000000,63.0000000,63.3000000,63.0000000,63.2000000,7600
NLMK,D,20060419,000000,63.2000000,68.2000000,63.2000000,66.0000000,49800
NLMK,D,20060420,000000,69.8000000,69.8000000,62.1000000,65.0000000,8300
NLMK,D,20060421,000000,65.0000000,65.5000000,64.9000000,65.5000000,24300
NLMK,D,20060424,000000,65.5000000,65.5000000,63.0000000,63.0000000,19900
NLMK,D,20060425,000000,65.0000000,65.0000000,63.5000000,65.0000000,36100
NLMK,D,20060426,000000,65.0000000,68.9000000,63.3000000,65.0000000,58000
NLMK,D,20060427,000000,63.7000000,64.0000000,62.1000000,62.1000000,70700
NLMK,D,20060428,000000,66.0000000,66.0000000,63.5000000,63.7000000,2600
NLMK,D,20060502,000000,62.6000000,63.7000000,62.5000000,63.0000000,3600
NLMK,D,20060503,000000,63.5000000,65.0000000,63.5000000,64.7000000,10400
NLMK,D,20060504,000000,63.9000000,63.9000000,63.0000000,63.5000000,10400
NLMK,D,20060505,000000,63.5000000,63.9000000,63.5000000,63.9000000,6900
NLMK,D,20060506,000000,63.6000000,63.6000000,63.0000000,63.2000000,21200
NLMK,D,20060510,000000,63.1000000,64.1000000,62.0000000,64.1000000,3500
NLMK,D,20060511,000000,64.9000000,67.9000000,64.4000000,67.8000000,109900
NLMK,D,20060512,000000,70.1000000,70.1000000,66.0000000,66.5000000,64800
NLMK,D,20060515,000000,65.1000000,65.1000000,63.5000000,63.5000000,66500
NLMK,D,20060516,000000,64.9000000,64.9000000,63.0000000,63.5000000,5700
NLMK,D,20060517,000000,64.5000000,68.0000000,64.5000000,64.5000000,5100
NLMK,D,20060518,000000,61.0000000,67.9000000,61.0000000,64.5000000,3400
NLMK,D,20060519,000000,65.5000000,65.5000000,60.0000000,62.0000000,22700
NLMK,D,20060522,000000,60.0000000,61.5000000,51.1000000,52.0000000,25600
NLMK,D,20060523,000000,50.0000000,56.9000000,50.0000000,56.6000000,90500
NLMK,D,20060524,000000,55.9000000,55.9000000,49.5000000,50.0000000,36900
NLMK,D,20060525,000000,51.3000000,51.3000000,48.5000000,51.2000000,99200
NLMK,D,20060526,000000,53.0000000,56.0000000,53.0000000,55.9000000,107400
NLMK,D,20060529,000000,58.7000000,60.0000000,57.0000000,58.3000000,10300
NLMK,D,20060530,000000,58.5000000,58.5000000,55.1000000,58.3000000,15300
NLMK,D,20060531,000000,53.2000000,60.5000000,53.1000000,60.5000000,35100
NLMK,D,20060601,000000,60.8000000,64.0000000,57.0000000,62.8000000,83900
NLMK,D,20060602,000000,65.0000000,65.0000000,63.0000000,64.4000000,3800
NLMK,D,20060605,000000,64.1000000,64.3000000,63.0000000,63.0000000,2400
NLMK,D,20060606,000000,59.0000000,63.4000000,59.0000000,60.0000000,22200
NLMK,D,20060607,000000,57.1000000,58.3000000,57.1000000,58.0000000,2700
NLMK,D,20060608,000000,57.0000000,57.0000000,53.0000000,53.0000000,49900
NLMK,D,20060609,000000,55.9000000,56.0000000,53.0000000,53.0000000,28500
NLMK,D,20060613,000000,51.0000000,51.0000000,49.1000000,51.0000000,45500
NLMK,D,20060614,000000,51.0000000,52.8000000,49.5000000,50.1000000,18700
NLMK,D,20060615,000000,53.9000000,61.0000000,53.9000000,55.2000000,151400
NLMK,D,20060616,000000,57.0000000,60.0000000,51.7000000,54.0000000,13000
NLMK,D,20060619,000000,53.0000000,56.0000000,52.0000000,56.0000000,3200
NLMK,D,20060620,000000,55.0000000,55.0000000,52.0000000,53.0000000,56800
NLMK,D,20060621,000000,52.6000000,53.0000000,52.6000000,53.0000000,52600
NLMK,D,20060622,000000,54.7000000,59.0000000,50.4000000,50.4000000,333900
NLMK,D,20060623,000000,50.1000000,53.0000000,49.6000000,51.5000000,60200
NLMK,D,20060626,000000,52.5000000,53.7000000,51.5000000,53.7000000,50000
NLMK,D,20060627,000000,54.7000000,65.0000000,52.2000000,53.5000000,127700
NLMK,D,20060628,000000,53.9000000,54.0000000,51.8000000,52.7000000,67600
NLMK,D,20060629,000000,53.7000000,56.3000000,53.7000000,56.0000000,10200
NLMK,D,20060630,000000,56.6000000,60.4000000,56.5000000,59.8000000,58800
NLMK,D,20060703,000000,60.0000000,61.9000000,58.0000000,58.0000000,11100
NLMK,D,20060704,000000,62.0000000,62.0000000,58.1000000,59.5000000,26800
NLMK,D,20060705,000000,59.0000000,59.6000000,58.5000000,59.6000000,57200
NLMK,D,20060706,000000,59.0000000,59.3000000,58.8000000,59.0000000,99500
NLMK,D,20060707,000000,61.5000000,61.5000000,59.0000000,59.1000000,112700
NLMK,D,20060710,000000,62.0000000,62.0000000,60.0000000,62.0000000,7100
NLMK,D,20060711,000000,63.4000000,64.9000000,62.9000000,63.0000000,47300
NLMK,D,20060712,000000,63.0000000,64.0000000,61.3000000,62.2000000,9900
NLMK,D,20060713,000000,60.5000000,63.0000000,55.1000000,58.0000000,33300
NLMK,D,20060714,000000,58.0000000,59.5000000,58.0000000,58.4000000,5000
NLMK,D,20060717,000000,55.1000000,56.0000000,53.2000000,55.0000000,45000
NLMK,D,20060718,000000,54.0000000,55.2000000,54.0000000,55.0000000,39500
NLMK,D,20060719,000000,55.0000000,57.0000000,55.0000000,57.0000000,52800
NLMK,D,20060720,000000,58.0000000,59.3000000,57.0000000,59.3000000,11300
NLMK,D,20060721,000000,58.0000000,58.7000000,57.7000000,58.7000000,10500
NLMK,D,20060724,000000,57.2000000,58.1000000,57.2000000,58.1000000,24300
NLMK,D,20060725,000000,58.2000000,58.2000000,57.2000000,57.2000000,2300
NLMK,D,20060726,000000,57.2000000,59.0000000,57.2000000,58.5000000,9400
NLMK,D,20060727,000000,59.5000000,59.6000000,57.4000000,59.6000000,6800
NLMK,D,20060728,000000,59.8000000,59.8000000,59.0000000,59.0000000,6600
NLMK,D,20060731,000000,60.4000000,62.0000000,58.2000000,58.2000000,35500
NLMK,D,20060801,000000,57.2000000,59.4000000,57.2000000,58.1000000,20800
NLMK,D,20060802,000000,59.3000000,61.1000000,59.0000000,59.6000000,543400
NLMK,D,20060803,000000,60.0000000,61.9000000,59.1000000,59.1000000,50400
NLMK,D,20060804,000000,59.9000000,60.3000000,59.1000000,59.1000000,85700
NLMK,D,20060807,000000,60.2000000,60.2000000,57.5000000,57.9000000,127900
NLMK,D,20060808,000000,57.6000000,59.0000000,57.3000000,58.0000000,56100
NLMK,D,20060809,000000,59.8000000,59.8000000,57.5000000,58.0000000,10500
NLMK,D,20060810,000000,57.7000000,57.9000000,57.2000000,57.2000000,51900
NLMK,D,20060811,000000,57.5000000,59.5000000,57.5000000,58.2000000,183000
NLMK,D,20060814,000000,58.0000000,58.3000000,57.6000000,57.6000000,28200
NLMK,D,20060815,000000,58.0000000,58.0000000,56.8000000,57.0000000,13500
NLMK,D,20060816,000000,57.1000000,58.0000000,55.8000000,56.3000000,262200
NLMK,D,20060817,000000,56.3000000,57.0000000,56.1000000,56.2000000,67400
NLMK,D,20060818,000000,56.5000000,57.3000000,55.5000000,55.7000000,44600
NLMK,D,20060821,000000,55.5000000,57.0000000,55.5000000,56.0000000,1700
NLMK,D,20060822,000000,57.4000000,57.4000000,56.5000000,56.8000000,6600
NLMK,D,20060823,000000,57.0000000,57.0000000,56.0000000,56.8000000,42100
NLMK,D,20060824,000000,56.9000000,56.9000000,55.8000000,55.8000000,1300
NLMK,D,20060825,000000,56.7000000,56.9000000,56.4000000,56.8000000,2700
NLMK,D,20060828,000000,56.6000000,57.9000000,56.0000000,57.9000000,6300
NLMK,D,20060829,000000,57.8000000,58.0000000,57.0000000,57.0000000,344000
NLMK,D,20060830,000000,56.6000000,57.0000000,54.2000000,54.2000000,274300
NLMK,D,20060831,000000,54.5000000,55.5000000,53.0000000,53.3000000,224900
NLMK,D,20060901,000000,53.9000000,54.0000000,53.0000000,53.9000000,39600
NLMK,D,20060904,000000,54.2000000,54.3000000,52.7000000,53.9000000,30800
NLMK,D,20060905,000000,53.2000000,53.8000000,52.7000000,53.0000000,81600
NLMK,D,20060906,000000,53.0000000,54.8000000,53.0000000,53.3000000,74600
NLMK,D,20060907,000000,52.0000000,53.4000000,50.1000000,53.0000000,48300
NLMK,D,20060908,000000,53.0000000,53.0000000,52.5000000,52.5000000,39300
NLMK,D,20060911,000000,52.1000000,52.3000000,51.5000000,51.8000000,13100
NLMK,D,20060912,000000,52.9000000,52.9000000,51.0000000,51.6000000,105300
NLMK,D,20060913,000000,52.5000000,52.5000000,50.0000000,50.8000000,91000
NLMK,D,20060914,000000,51.6000000,52.5000000,50.7000000,50.8000000,264500
NLMK,D,20060915,000000,51.5000000,52.0000000,49.9000000,50.2000000,249300
NLMK,D,20060918,000000,50.8000000,51.5000000,50.5000000,51.4000000,39900
NLMK,D,20060919,000000,51.5000000,51.8000000,50.9000000,51.0000000,357000
NLMK,D,20060920,000000,50.4000000,51.1000000,50.4000000,51.0000000,77000
NLMK,D,20060921,000000,52.0000000,52.6000000,50.5000000,52.0000000,68600
NLMK,D,20060922,000000,52.0000000,52.6000000,50.3000000,50.8000000,38300
NLMK,D,20060925,000000,50.0000000,50.0000000,48.7000000,49.9000000,97500
NLMK,D,20060926,000000,49.8600000,50.6000000,49.4200000,50.0800000,21100
NLMK,D,20060927,000000,50.4900000,52.4500000,50.4900000,52.4500000,175200
NLMK,D,20060928,000000,52.0200000,52.8000000,50.0000000,52.5000000,159700
NLMK,D,20060929,000000,52.0000000,53.5000000,51.5000000,51.5000000,65800
NLMK,D,20061002,000000,51.6100000,53.5000000,51.0000000,51.0700000,198400
NLMK,D,20061003,000000,51.4500000,51.4500000,49.9000000,50.0000000,114300
NLMK,D,20061004,000000,50.0000000,50.1000000,49.4100000,50.0000000,161400
NLMK,D,20061005,000000,50.5000000,51.6800000,50.1200000,51.0000000,156700
NLMK,D,20061006,000000,51.5000000,51.5000000,50.9000000,51.2300000,134800
NLMK,D,20061009,000000,51.7000000,52.4500000,51.7000000,52.4400000,73500
NLMK,D,20061010,000000,52.6900000,52.6900000,52.0000000,52.4200000,38900
NLMK,D,20061011,000000,52.4200000,52.5500000,50.7000000,52.5500000,24500
NLMK,D,20061012,000000,52.5500000,53.5000000,52.0000000,52.1000000,170300
NLMK,D,20061013,000000,53.3000000,53.4000000,52.3000000,52.9000000,127600
NLMK,D,20061016,000000,52.6500000,53.5000000,52.6200000,53.2500000,206500
NLMK,D,20061017,000000,53.5000000,56.0000000,53.2500000,54.2200000,428600
NLMK,D,20061018,000000,55.0000000,56.7000000,54.5000000,56.5000000,184800
NLMK,D,20061019,000000,56.5000000,57.5000000,56.5000000,57.0500000,529200
NLMK,D,20061020,000000,57.4900000,57.5000000,56.0000000,56.3900000,215900
NLMK,D,20061023,000000,57.3300000,57.3300000,55.6200000,56.5000000,57000
NLMK,D,20061024,000000,56.9800000,57.0000000,55.6500000,56.4700000,34400
NLMK,D,20061025,000000,56.4500000,57.5000000,55.7300000,57.5000000,63300
NLMK,D,20061026,000000,57.8000000,57.8000000,57.0000000,57.4000000,105900
NLMK,D,20061027,000000,57.2000000,57.6900000,56.9500000,57.6000000,59300
NLMK,D,20061030,000000,57.0000000,57.5000000,56.4000000,56.9000000,84200
NLMK,D,20061031,000000,57.0000000,57.2400000,56.8000000,56.8000000,32200
NLMK,D,20061101,000000,56.8000000,56.8000000,55.5000000,55.6600000,130700
