<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,D,20050622,000000,220.0000000,220.0000000,217.0000000,219.0000000,6400
CHMF,D,20050623,000000,219.0000000,230.0000000,219.0000000,223.0000000,4300
CHMF,D,20050624,000000,225.0000000,227.0000000,216.0000000,216.0000000,1800
CHMF,D,20050627,000000,213.5000000,213.5000000,211.0000000,211.0000000,600
CHMF,D,20050628,000000,214.0000000,216.0000000,208.0000000,208.0000000,4300
CHMF,D,20050629,000000,207.0100000,210.0000000,207.0000000,209.0000000,1600
CHMF,D,20050630,000000,209.2000000,217.4000000,208.0000000,208.0000000,600
CHMF,D,20050701,000000,208.0000000,210.0000000,207.0000000,210.0000000,14800
CHMF,D,20050704,000000,215.9000000,217.0000000,211.0100000,212.0000000,13200
CHMF,D,20050705,000000,212.5000000,216.0000000,212.5000000,216.0000000,4600
CHMF,D,20050706,000000,220.0000000,225.9500000,219.0000000,225.9500000,7700
CHMF,D,20050707,000000,225.0000000,228.9000000,224.0000000,225.0000000,31600
CHMF,D,20050708,000000,230.0000000,230.0000000,227.5500000,229.9900000,4400
CHMF,D,20050711,000000,233.5000000,233.5000000,230.0000000,230.0000000,12200
CHMF,D,20050712,000000,229.8000000,230.0000000,226.0100000,230.0000000,13000
CHMF,D,20050713,000000,230.0100000,234.0000000,229.5100000,234.0000000,3700
CHMF,D,20050714,000000,231.0000000,234.0000000,230.5000000,230.5000000,1300
CHMF,D,20050715,000000,229.0000000,229.0000000,227.6100000,227.8100000,2200
CHMF,D,20050718,000000,226.5000000,229.4000000,226.5000000,229.4000000,600
CHMF,D,20050719,000000,230.0000000,231.0000000,230.0000000,231.0000000,300
CHMF,D,20050720,000000,229.0000000,233.0000000,229.0000000,232.5100000,3400
CHMF,D,20050721,000000,232.8100000,236.0000000,231.0000000,231.0000000,3600
CHMF,D,20050722,000000,233.0000000,236.0000000,232.0000000,236.0000000,6600
CHMF,D,20050725,000000,239.8500000,243.0000000,239.8500000,242.0000000,4000
CHMF,D,20050726,000000,242.0000000,244.0000000,239.0000000,240.0000000,9400
CHMF,D,20050727,000000,238.5000000,248.0000000,238.5000000,245.0000000,11500
CHMF,D,20050728,000000,250.0000000,250.0000000,241.0000000,246.0000000,3200
CHMF,D,20050729,000000,246.0000000,246.0000000,240.0000000,240.9000000,5700
CHMF,D,20050801,000000,241.0000000,243.0000000,237.5100000,243.0000000,4700
CHMF,D,20050802,000000,240.1500000,244.0000000,240.1500000,244.0000000,15000
CHMF,D,20050803,000000,243.0000000,247.0000000,242.0000000,242.0000000,7400
CHMF,D,20050804,000000,243.0000000,246.9900000,243.0000000,245.0000000,800
CHMF,D,20050805,000000,243.0000000,243.5000000,241.3100000,243.0000000,10400
CHMF,D,20050808,000000,242.0000000,242.0100000,239.0000000,239.0000000,8600
CHMF,D,20050809,000000,240.0000000,244.5000000,240.0000000,243.2000000,4600
CHMF,D,20050810,000000,249.9800000,250.0000000,243.7000000,243.7000000,700
CHMF,D,20050811,000000,243.3300000,243.3300000,241.1000000,241.1000000,600
CHMF,D,20050812,000000,241.0000000,243.0000000,241.0000000,243.0000000,1200
CHMF,D,20050815,000000,240.0000000,243.0000000,238.5000000,238.5000000,6000
CHMF,D,20050816,000000,243.0000000,245.9000000,242.0100000,245.0000000,3800
CHMF,D,20050817,000000,245.0000000,245.8500000,245.0000000,245.1000000,3700
CHMF,D,20050818,000000,245.0400000,248.9000000,244.0000000,248.0000000,5800
CHMF,D,20050819,000000,247.6500000,248.5000000,243.9000000,246.0000000,8200
CHMF,D,20050822,000000,250.0000000,250.0000000,244.1000000,248.0000000,5800
CHMF,D,20050823,000000,248.0000000,248.0000000,244.8100000,244.8100000,1300
CHMF,D,20050824,000000,244.8000000,244.8000000,244.0000000,244.0000000,300
CHMF,D,20050825,000000,244.0000000,246.0000000,244.0000000,245.1000000,3600
CHMF,D,20050826,000000,244.5000000,244.5000000,241.0100000,241.0100000,7500
CHMF,D,20050829,000000,242.5000000,243.0000000,228.9600000,241.0000000,8100
CHMF,D,20050830,000000,244.0000000,245.4000000,240.0000000,240.0000000,15300
CHMF,D,20050831,000000,240.0000000,240.0000000,236.0000000,236.5000000,5400
CHMF,D,20050901,000000,235.1000000,238.0000000,232.2200000,236.0000000,8300
CHMF,D,20050902,000000,235.0100000,238.5000000,234.0000000,234.0000000,3100
CHMF,D,20050905,000000,234.5000000,238.0000000,234.0000000,234.0000000,3500
CHMF,D,20050906,000000,231.0000000,237.5000000,231.0000000,233.1100000,15200
CHMF,D,20050907,000000,233.0000000,233.0000000,227.0000000,231.0000000,7800
CHMF,D,20050908,000000,231.9000000,234.9900000,231.9000000,234.9900000,1200
CHMF,D,20050909,000000,233.0000000,237.9000000,232.7800000,237.9000000,4200
CHMF,D,20050912,000000,238.5000000,245.0000000,238.5000000,241.0000000,10200
CHMF,D,20050913,000000,240.0000000,246.0500000,240.0000000,246.0000000,1600
CHMF,D,20050914,000000,240.0000000,246.9900000,236.0000000,246.9900000,8200
CHMF,D,20050915,000000,245.0000000,247.7700000,244.0000000,247.7700000,1400
CHMF,D,20050916,000000,247.0000000,250.0000000,247.0000000,247.0000000,7100
CHMF,D,20050919,000000,246.5000000,253.9900000,246.5000000,253.9900000,2000
CHMF,D,20050920,000000,260.0000000,265.0000000,250.0000000,257.0000000,4700
CHMF,D,20050921,000000,254.0000000,257.0000000,250.0000000,257.0000000,5400
CHMF,D,20050922,000000,258.0000000,262.3000000,253.1000000,261.0000000,5300
CHMF,D,20050926,000000,256.5500000,262.9000000,256.5500000,258.0100000,8500
CHMF,D,20050927,000000,260.0000000,270.0000000,260.0000000,266.0000000,10100
CHMF,D,20050928,000000,269.0000000,270.0000000,265.1200000,265.1200000,5300
CHMF,D,20050929,000000,279.0000000,279.1000000,263.9000000,269.9900000,2400
CHMF,D,20050930,000000,272.0000000,280.0000000,272.0000000,279.0000000,11800
CHMF,D,20051003,000000,278.0000000,284.9000000,278.0000000,280.0000000,8300
CHMF,D,20051004,000000,282.0000000,289.9000000,275.0000000,276.5000000,37900
CHMF,D,20051005,000000,280.0000000,280.0000000,270.0100000,270.0100000,14800
CHMF,D,20051006,000000,266.0000000,266.0000000,258.0000000,264.7900000,10800
CHMF,D,20051007,000000,257.1000000,265.0000000,257.0000000,265.0000000,6500
CHMF,D,20051010,000000,266.0000000,273.5000000,266.0000000,273.5000000,9100
CHMF,D,20051011,000000,268.5100000,274.0000000,268.5100000,274.0000000,700
CHMF,D,20051012,000000,271.2000000,272.9000000,263.5100000,263.5100000,4100
CHMF,D,20051013,000000,257.0000000,268.0000000,255.1000000,267.0000000,800
CHMF,D,20051014,000000,277.0000000,277.0000000,259.0000000,259.0000000,3000
CHMF,D,20051017,000000,259.0000000,259.0000000,259.0000000,259.0000000,100
CHMF,D,20051018,000000,274.2000000,274.2000000,258.0100000,258.0100000,14500
CHMF,D,20051019,000000,259.5000000,263.0000000,249.9700000,260.0000000,24500
CHMF,D,20051020,000000,255.0000000,258.0000000,252.1100000,252.1200000,500
CHMF,D,20051021,000000,252.0000000,257.0000000,242.0000000,246.5000000,19900
CHMF,D,20051024,000000,249.9500000,252.0000000,246.0100000,251.9000000,11800
CHMF,D,20051025,000000,254.5000000,266.0000000,243.0000000,247.0000000,41400
CHMF,D,20051026,000000,248.0000000,248.0000000,244.0000000,247.0000000,6600
CHMF,D,20051027,000000,246.0000000,252.0000000,246.0000000,252.0000000,900
CHMF,D,20051028,000000,251.9900000,251.9900000,250.0000000,251.9900000,1900
CHMF,D,20051031,000000,251.0000000,253.8000000,250.0000000,253.8000000,1000
CHMF,D,20051101,000000,255.3000000,258.9900000,254.1000000,256.0000000,4900
CHMF,D,20051102,000000,262.9000000,263.8500000,260.0000000,263.8500000,6000
CHMF,D,20051103,000000,263.9900000,270.0000000,263.0000000,263.0000000,8300
CHMF,D,20051107,000000,265.0000000,269.8600000,252.0000000,266.0000000,5700
CHMF,D,20051108,000000,265.7000000,270.0000000,262.0000000,264.5000000,6300
CHMF,D,20051109,000000,265.0000000,275.0000000,261.5000000,261.5000000,15200
CHMF,D,20051110,000000,262.0000000,262.3000000,259.5000000,259.5000000,13000
CHMF,D,20051111,000000,260.0000000,262.3000000,259.5000000,259.5000000,8000
CHMF,D,20051114,000000,260.5200000,267.9000000,260.5200000,265.0000000,1400
CHMF,D,20051115,000000,269.7000000,277.0000000,266.5000000,271.0000000,13300
CHMF,D,20051116,000000,269.0000000,274.0000000,265.3000000,266.8000000,5400
