<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHANGHAI,D,20071008,000000,5717.5640000,5728.2910000,5688.4620000,5692.7550000,44575535
SHANGHAI,D,20071009,000000,5678.9130000,5724.7530000,5638.0730000,5715.8920000,84610489
SHANGHAI,D,20071010,000000,5742.6480000,5855.8230000,5734.1230000,5771.4640000,90844872
SHANGHAI,D,20071011,000000,5798.3860000,5914.1390000,5757.7210000,5913.2300000,94009301
SHANGHAI,D,20071012,000000,5950.9020000,5954.7040000,5662.2150000,5903.2640000,119148135
SHANGHAI,D,20071015,000000,5934.7750000,6037.3870000,5867.1030000,6030.0860000,98707247
SHANGHAI,D,20071016,000000,6056.9460000,6122.6830000,6043.2890000,6092.0570000,87271753
SHANGHAI,D,20071017,000000,6057.4280000,6087.4610000,5990.1620000,6036.2810000,71312510
SHANGHAI,D,20071018,000000,6031.9160000,6054.0070000,5809.0650000,5825.2820000,68647498
SHANGHAI,D,20071019,000000,5869.1240000,5927.9940000,5767.9060000,5818.0470000,56410064
SHANGHAI,D,20071022,000000,5742.7910000,5804.1800000,5656.3470000,5667.3320000,52478443
SHANGHAI,D,20071023,000000,5660.0660000,5775.6550000,5575.8330000,5773.3870000,59665945
SHANGHAI,D,20071024,000000,5840.8460000,5903.1880000,5834.1480000,5843.1090000,30223302
SHANGHAI,D,20071025,000000,5794.2230000,5814.9740000,5548.8080000,5562.3940000,71714397
SHANGHAI,D,20071026,000000,5562.3570000,5627.8640000,5466.9910000,5589.6310000,53444123
SHANGHAI,D,20071029,000000,5641.9830000,5749.3750000,5622.9910000,5747.9970000,51096395
SHANGHAI,D,20071030,000000,5769.2030000,5897.8340000,5708.5800000,5897.1930000,54278812
SHANGHAI,D,20071031,000000,5984.7130000,5986.9040000,5875.6400000,5954.7650000,70349454
SHANGHAI,D,20071101,000000,5954.7650000,6004.6880000,5914.1820000,5914.2850000,66065080
SHANGHAI,D,20071102,000000,5812.4650000,5860.5940000,5744.7440000,5777.8090000,59541559
SHANGHAI,D,20071105,000000,5748.1760000,5785.2780000,5605.6350000,5634.4520000,64132554
SHANGHAI,D,20071106,000000,5593.3470000,5648.5140000,5512.6680000,5536.5690000,44615594
SHANGHAI,D,20071107,000000,5565.6480000,5607.9500000,5471.2640000,5601.7830000,42730319
SHANGHAI,D,20071108,000000,5601.7830000,5601.7830000,5329.8390000,5330.0230000,49152951
SHANGHAI,D,20071109,000000,5276.0080000,5381.2430000,5220.1100000,5315.5400000,47341251
SHANGHAI,D,20071112,000000,5181.1750000,5248.8940000,5036.0930000,5187.7350000,52582703
SHANGHAI,D,20071113,000000,5239.3430000,5311.4060000,5093.2740000,5158.1180000,49237305
SHANGHAI,D,20071114,000000,5246.5740000,5412.6940000,5169.5360000,5412.6940000,50992871
SHANGHAI,D,20071115,000000,5391.0170000,5451.6410000,5342.9060000,5365.2670000,47819419
SHANGHAI,D,20071116,000000,5273.0820000,5333.5950000,5226.8820000,5316.2740000,38174289
SHANGHAI,D,20071119,000000,5325.3020000,5325.3020000,5241.5930000,5269.8170000,41097731
SHANGHAI,D,20071120,000000,5230.7420000,5336.0820000,5161.2100000,5293.7030000,49057393
SHANGHAI,D,20071121,000000,5307.7930000,5343.0770000,5209.7420000,5214.2250000,41231609
SHANGHAI,D,20071122,000000,5113.8820000,5153.9340000,4973.7710000,4984.1610000,41251594
SHANGHAI,D,20071123,000000,4946.2580000,5032.1300000,4906.4560000,5032.1300000,30872962
SHANGHAI,D,20071126,000000,5102.5260000,5110.3280000,4953.5180000,4958.8490000,37494220
SHANGHAI,D,20071127,000000,4919.9130000,4944.2800000,4860.0110000,4861.1110000,31585235
SHANGHAI,D,20071128,000000,4870.8420000,4907.0710000,4778.9430000,4803.3940000,32765317
SHANGHAI,D,20071129,000000,4870.8610000,5010.8850000,4815.3410000,5003.3330000,50099157
SHANGHAI,D,20071130,000000,4993.7400000,4993.7400000,4862.1730000,4871.7780000,43449596
SHANGHAI,D,20071203,000000,4838.5640000,4899.0700000,4798.7130000,4868.6110000,53827638
SHANGHAI,D,20071204,000000,4882.1490000,4971.1120000,4882.1490000,4915.8890000,42924665
SHANGHAI,D,20071205,000000,4917.3650000,5052.1880000,4894.0540000,5042.6540000,54302270
SHANGHAI,D,20071206,000000,5055.8350000,5065.0330000,4995.9760000,5035.0730000,43246483
SHANGHAI,D,20071207,000000,5038.4780000,5096.4660000,5021.8860000,5091.7560000,50127492
SHANGHAI,D,20071210,000000,5010.8260000,5168.4400000,4992.5580000,5161.9190000,68892463
SHANGHAI,D,20071211,000000,5180.5410000,5209.6910000,5104.2570000,5175.0760000,66864375
SHANGHAI,D,20071212,000000,5175.0760000,5175.0760000,5055.1430000,5095.5430000,72367337
SHANGHAI,D,20071213,000000,5078.1820000,5094.5070000,4954.5890000,4958.0430000,67326637
SHANGHAI,D,20071214,000000,4899.7500000,5011.0070000,4860.9620000,5007.9110000,52194571
SHANGHAI,D,20071217,000000,5007.2850000,5007.2850000,4874.8210000,4876.7610000,63670786
SHANGHAI,D,20071218,000000,4856.4710000,4905.0690000,4812.4270000,4836.1740000,40535455
SHANGHAI,D,20071219,000000,4878.0660000,4960.1220000,4869.2910000,4941.7840000,56434387
SHANGHAI,D,20071220,000000,4965.2900000,5050.7850000,4923.4270000,5043.5350000,57768321
SHANGHAI,D,20071221,000000,5017.1950000,5112.1850000,5015.5300000,5101.7790000,66247357
SHANGHAI,D,20071224,000000,5132.9130000,5284.1560000,5104.9370000,5234.2620000,85105378
SHANGHAI,D,20071225,000000,5233.1750000,5254.4050000,5179.5460000,5201.1810000,71229156
SHANGHAI,D,20071226,000000,5209.0350000,5261.8340000,5158.9310000,5233.3510000,74571398
SHANGHAI,D,20071227,000000,5248.2220000,5316.1190000,5203.5190000,5308.8890000,87370820
SHANGHAI,D,20071228,000000,5320.0070000,5336.3990000,5248.6920000,5261.5630000,77214986
SHANGHAI,D,20071231,000000,5261.5630000,5261.5630000,5261.5630000,5261.5630000,0
SHANGHAI,D,20080102,000000,5265.0000000,5295.0160000,5201.8920000,5272.8140000,76593423
SHANGHAI,D,20080103,000000,5269.8010000,5321.4570000,5211.7550000,5319.8610000,98757244
SHANGHAI,D,20080104,000000,5328.4110000,5372.4610000,5318.5880000,5361.5740000,80877536
SHANGHAI,D,20080107,000000,5357.4500000,5402.7590000,5332.9740000,5393.3430000,91936325
SHANGHAI,D,20080109,000000,5387.3120000,5437.2380000,5386.9840000,5435.8070000,29453515
SHANGHAI,D,20080110,000000,5449.1600000,5483.2980000,5407.5900000,5456.5410000,96354053
SHANGHAI,D,20080111,000000,5471.3870000,5499.8920000,5424.2410000,5484.6770000,87324694
SHANGHAI,D,20080114,000000,5507.5780000,5522.7780000,5457.0160000,5497.9010000,79754352
SHANGHAI,D,20080115,000000,5503.9310000,5505.0350000,5405.9350000,5443.7910000,80605282
SHANGHAI,D,20080116,000000,5443.7910000,5443.7910000,5288.9320000,5290.6060000,89190992
SHANGHAI,D,20080117,000000,5235.9080000,5311.7930000,5040.8700000,5151.6260000,97674777
SHANGHAI,D,20080118,000000,5141.3710000,5187.2950000,5093.5190000,5180.5140000,68717294
SHANGHAI,D,20080121,000000,5188.7950000,5200.5460000,4891.9160000,4914.4350000,75676001
SHANGHAI,D,20080122,000000,4817.9970000,4817.9970000,4512.8350000,4559.7510000,92499612
SHANGHAI,D,20080123,000000,4572.9020000,4705.0230000,4510.5040000,4703.0470000,87903337
SHANGHAI,D,20080124,000000,4753.4450000,4767.7540000,4626.0240000,4717.7340000,90041540
SHANGHAI,D,20080125,000000,4716.9770000,4806.2010000,4658.2800000,4761.6880000,77859117
SHANGHAI,D,20080128,000000,4720.5640000,4720.5640000,4409.1240000,4419.2940000,67532525
SHANGHAI,D,20080129,000000,4426.2670000,4516.7060000,4389.8410000,4457.9440000,48650261
SHANGHAI,D,20080130,000000,4505.6350000,4554.1430000,4330.6980000,4417.8490000,52909738
SHANGHAI,D,20080131,000000,4408.0240000,4486.2480000,4368.2960000,4383.3930000,43846189
SHANGHAI,D,20080201,000000,4388.2540000,4411.5530000,4195.8150000,4310.1130000,53768206
SHANGHAI,D,20080204,000000,4415.0230000,4672.1700000,4415.0230000,4672.1700000,61747417
SHANGHAI,D,20080205,000000,4622.5390000,4662.9710000,4560.1670000,4599.6960000,50682336
SHANGHAI,D,20080213,000000,4525.0260000,4547.3610000,4454.6430000,4490.7210000,36985017
SHANGHAI,D,20080214,000000,4527.0540000,4576.4630000,4508.0520000,4552.3160000,34906456
SHANGHAI,D,20080215,000000,4523.7920000,4523.7920000,4431.4630000,4497.1270000,41386519
SHANGHAI,D,20080218,000000,4546.7520000,4600.3950000,4518.0230000,4568.1510000,55826856
SHANGHAI,D,20080219,000000,4582.2840000,4665.5040000,4545.6760000,4664.2950000,60899996
SHANGHAI,D,20080220,000000,4682.5880000,4695.3320000,4557.5650000,4567.0260000,66484545
SHANGHAI,D,20080221,000000,4534.1690000,4567.9040000,4452.9940000,4527.1770000,61309226
SHANGHAI,D,20080222,000000,4500.3850000,4500.3850000,4333.0900000,4370.2850000,67619080
SHANGHAI,D,20080226,000000,4192.5190000,4329.7270000,4123.3370000,4238.1790000,54937381
SHANGHAI,D,20080227,000000,4256.5320000,4359.9940000,4223.0250000,4334.0470000,49029903
SHANGHAI,D,20080228,000000,4343.2770000,4344.9260000,4265.5950000,4299.5130000,47515488
SHANGHAI,D,20080229,000000,4293.5330000,4364.4830000,4276.2750000,4348.5430000,47144652
SHANGHAI,D,20080303,000000,4323.6980000,4456.9630000,4279.6620000,4438.2650000,77793726
SHANGHAI,D,20080304,000000,4454.1800000,4471.9540000,4321.6470000,4335.4460000,86234604
SHANGHAI,D,20080305,000000,4335.4210000,4352.1050000,4212.5540000,4292.6540000,73465392
SHANGHAI,D,20080306,000000,4310.3540000,4427.4080000,4261.2610000,4360.9860000,84535354
