<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCB,D,20000407,000000,28.6800000,28.6800000,28.6800000,28.6800000,0
USDCB,D,20000408,000000,28.6600000,28.6600000,28.6600000,28.6600000,0
USDCB,D,20000409,000000,28.6600000,28.6600000,28.6600000,28.6600000,0
USDCB,D,20000410,000000,28.6600000,28.6600000,28.6600000,28.6600000,0
USDCB,D,20000411,000000,28.6300000,28.6300000,28.6300000,28.6300000,0
USDCB,D,20000412,000000,28.5900000,28.5900000,28.5900000,28.5900000,0
USDCB,D,20000413,000000,28.5600000,28.5600000,28.5600000,28.5600000,0
USDCB,D,20000414,000000,28.5300000,28.5300000,28.5300000,28.5300000,0
USDCB,D,20000415,000000,28.5000000,28.5000000,28.5000000,28.5000000,0
USDCB,D,20000416,000000,28.5000000,28.5000000,28.5000000,28.5000000,0
USDCB,D,20000417,000000,28.5000000,28.5000000,28.5000000,28.5000000,0
USDCB,D,20000418,000000,28.6000000,28.6000000,28.6000000,28.6000000,0
USDCB,D,20000419,000000,28.7800000,28.7800000,28.7800000,28.7800000,0
USDCB,D,20000420,000000,28.6200000,28.6200000,28.6200000,28.6200000,0
USDCB,D,20000421,000000,28.5900000,28.5900000,28.5900000,28.5900000,0
USDCB,D,20000422,000000,28.5500000,28.5500000,28.5500000,28.5500000,0
USDCB,D,20000423,000000,28.5500000,28.5500000,28.5500000,28.5500000,0
USDCB,D,20000424,000000,28.5500000,28.5500000,28.5500000,28.5500000,0
USDCB,D,20000425,000000,28.5300000,28.5300000,28.5300000,28.5300000,0
USDCB,D,20000426,000000,28.5300000,28.5300000,28.5300000,28.5300000,0
USDCB,D,20000427,000000,28.4600000,28.4600000,28.4600000,28.4600000,0
USDCB,D,20000428,000000,28.4300000,28.4300000,28.4300000,28.4300000,0
USDCB,D,20000429,000000,28.4000000,28.4000000,28.4000000,28.4000000,0
USDCB,D,20000430,000000,28.4000000,28.4000000,28.4000000,28.4000000,0
USDCB,D,20000501,000000,28.4000000,28.4000000,28.4000000,28.4000000,0
USDCB,D,20000502,000000,28.4000000,28.4000000,28.4000000,28.4000000,0
USDCB,D,20000503,000000,28.4000000,28.4000000,28.4000000,28.4000000,0
USDCB,D,20000504,000000,28.3800000,28.3800000,28.3800000,28.3800000,0
USDCB,D,20000505,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000506,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000507,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000508,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000509,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000510,000000,28.3600000,28.3600000,28.3600000,28.3600000,0
USDCB,D,20000511,000000,28.3400000,28.3400000,28.3400000,28.3400000,0
USDCB,D,20000512,000000,28.3200000,28.3200000,28.3200000,28.3200000,0
USDCB,D,20000513,000000,28.3000000,28.3000000,28.3000000,28.3000000,0
USDCB,D,20000514,000000,28.3000000,28.3000000,28.3000000,28.3000000,0
USDCB,D,20000515,000000,28.3000000,28.3000000,28.3000000,28.3000000,0
USDCB,D,20000516,000000,28.2800000,28.2800000,28.2800000,28.2800000,0
USDCB,D,20000517,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000518,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000519,000000,28.3300000,28.3300000,28.3300000,28.3300000,0
USDCB,D,20000520,000000,28.3100000,28.3100000,28.3100000,28.3100000,0
USDCB,D,20000521,000000,28.3100000,28.3100000,28.3100000,28.3100000,0
USDCB,D,20000522,000000,28.3100000,28.3100000,28.3100000,28.3100000,0
USDCB,D,20000523,000000,28.3000000,28.3000000,28.3000000,28.3000000,0
USDCB,D,20000524,000000,28.2900000,28.2900000,28.2900000,28.2900000,0
USDCB,D,20000525,000000,28.2800000,28.2800000,28.2800000,28.2800000,0
USDCB,D,20000526,000000,28.2800000,28.2800000,28.2800000,28.2800000,0
USDCB,D,20000527,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000528,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000529,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000530,000000,28.2700000,28.2700000,28.2700000,28.2700000,0
USDCB,D,20000531,000000,28.2500000,28.2500000,28.2500000,28.2500000,0
USDCB,D,20000601,000000,28.2300000,28.2300000,28.2300000,28.2300000,0
USDCB,D,20000602,000000,28.2500000,28.2500000,28.2500000,28.2500000,0
USDCB,D,20000603,000000,28.3400000,28.3400000,28.3400000,28.3400000,0
