<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LME.Alum,D,20000407,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.467.7500000,0
LME.Alum,D,20000410,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.472.0000000,0
LME.Alum,D,20000411,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.483.0000000,0
LME.Alum,D,20000412,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.481.5000000,0
LME.Alum,D,20000413,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.464.7500000,0
LME.Alum,D,20000414,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.433.0000000,0
LME.Alum,D,20000417,000000,1.522.0000000,1.522.0000000,1.499.5000000,1.433.0000000,0
LME.Alum,D,20000418,000000,1.435.7000000,1.460.0000000,1.431.2500000,1.436.0000000,0
LME.Alum,D,20000419,000000,1.441.5000000,1.455.5000000,1.435.7500000,1.455.0000000,0
LME.Alum,D,20000420,000000,1.447.0000000,1.447.8500000,1.442.1300000,1.444.7500000,0
LME.Alum,D,20000421,000000,1.447.0000000,1.447.8500000,1.442.1300000,1.447.8500000,0
LME.Alum,D,20000424,000000,1.447.0000000,1.447.8500000,1.442.1300000,1.447.8500000,0
LME.Alum,D,20000425,000000,1.441.0500000,1.480.0000000,1.440.5500000,1.469.5000000,0
LME.Alum,D,20000426,000000,1.464.0000000,1.498.5500000,1.464.0000000,1.485.0000000,0
LME.Alum,D,20000427,000000,1.476.5000000,1.476.5000000,1.447.5000000,1.447.7500000,0
LME.Alum,D,20000428,000000,1.490.5000000,1.490.5000000,1.469.5000000,1.468.2500000,0
LME.Alum,D,20000501,000000,1.490.5000000,1.490.5000000,1.469.5000000,1.490.5000000,0
LME.Alum,D,20000502,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.482.2500000,0
LME.Alum,D,20000503,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.449.7500000,0
LME.Alum,D,20000504,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.451.2500000,0
LME.Alum,D,20000505,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.459.7500000,0
LME.Alum,D,20000508,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.448.5000000,0
LME.Alum,D,20000509,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.454.5000000,0
LME.Alum,D,20000510,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.451.2500000,0
LME.Alum,D,20000511,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.442.7500000,0
LME.Alum,D,20000512,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.452.5000000,0
LME.Alum,D,20000515,000000,1.460.5000000,1.482.5000000,1.460.5000000,1.452.5000000,0
LME.Alum,D,20000516,000000,1.473.0000000,1.516.0000000,1.473.0000000,1.516.5000000,0
LME.Alum,D,20000517,000000,1.512.0000000,1.531.0000000,1.510.0000000,1.519.0000000,0
LME.Alum,D,20000518,000000,1.513.5000000,1.529.5000000,1.509.5000000,1.511.2500000,0
LME.Alum,D,20000519,000000,1.512.8000000,1.516.5000000,1.503.0000000,1.507.0000000,0
LME.Alum,D,20000522,000000,1.506.5000000,1.513.0000000,1.499.0000000,1.504.7500000,0
LME.Alum,D,20000523,000000,1.502.5000000,1.510.0000000,1.500.5000000,1.502.5000000,0
LME.Alum,D,20000524,000000,1.507.2500000,1.508.5000000,1.493.0000000,1.494.7500000,0
LME.Alum,D,20000525,000000,1.488.5000000,1.491.2500000,1.469.5000000,1.468.5000000,0
LME.Alum,D,20000526,000000,1.471.5000000,1.479.5000000,1.468.5000000,1.480.5000000,0
LME.Alum,D,20000529,000000,1.471.5000000,1.479.5000000,1.468.5000000,1.480.5000000,0
LME.Alum,D,20000530,000000,1.473.5000000,1.473.5000000,1.444.5000000,1.446.5000000,0
LME.Alum,D,20000531,000000,1.444.0000000,1.455.0000000,1.442.0000000,1.454.5000000,0
LME.Alum,D,20000601,000000,1.453.5000000,1.456.5000000,1.444.5000000,1.456.0000000,0
LME.Alum,D,20000602,000000,1.457.0000000,1.466.5000000,1.426.0000000,1.423.7500000,0
LME.Alum,D,20000605,000000,1.429.7000000,1.442.5000000,1.428.0000000,1.442.0000000,0
LME.Alum,D,20000606,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.445.5000000,0
LME.Alum,D,20000607,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.429.5000000,0
LME.Alum,D,20000608,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.458.5000000,0
LME.Alum,D,20000609,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.472.5000000,0
LME.Alum,D,20000612,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.448.2500000,0
LME.Alum,D,20000613,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.474.5000000,0
LME.Alum,D,20000614,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.494.7500000,0
LME.Alum,D,20000615,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.554.0000000,0
LME.Alum,D,20000616,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.565.7500000,0
LME.Alum,D,20000619,000000,1.446.0000000,1.446.5000000,1.446.0000000,1.565.7500000,0
LME.Alum,D,20000620,000000,1.549.7500000,1.560.0000000,1.543.5000000,1.547.2500000,0
LME.Alum,D,20000621,000000,1.546.2500000,1.567.5000000,1.542.2500000,1.569.0000000,0
LME.Alum,D,20000622,000000,1.565.0000000,1.574.0000000,1.560.5000000,1.566.0000000,0
LME.Alum,D,20000623,000000,1.558.5000000,1.562.2500000,1.550.5000000,1.553.0000000,0
LME.Alum,D,20000626,000000,1.552.0000000,1.586.5000000,1.550.2500000,1.587.5000000,0
LME.Alum,D,20000627,000000,1.582.0000000,1.591.2500000,1.561.5000000,1.565.5000000,0
LME.Alum,D,20000628,000000,1.565.7500000,1.585.0000000,1.565.7500000,1.585.7500000,0
