<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFCB,D,20181009,000000,67.5154000,67.5154000,67.5154000,67.5154000,0
CHFCB,D,20181010,000000,66.7772000,66.7772000,66.7772000,66.7772000,0
CHFCB,D,20181011,000000,66.6632000,66.6632000,66.6632000,66.6632000,0
CHFCB,D,20181012,000000,67.5290000,67.5290000,67.5290000,67.5290000,0
CHFCB,D,20181013,000000,66.5944000,66.5944000,66.5944000,66.5944000,0
CHFCB,D,20181016,000000,66.3881000,66.3881000,66.3881000,66.3881000,0
CHFCB,D,20181017,000000,66.3063000,66.3063000,66.3063000,66.3063000,0
CHFCB,D,20181018,000000,65.9766000,65.9766000,65.9766000,65.9766000,0
CHFCB,D,20181019,000000,66.1471000,66.1471000,66.1471000,66.1471000,0
CHFCB,D,20181020,000000,66.0253000,66.0253000,66.0253000,66.0253000,0
CHFCB,D,20181023,000000,65.5293000,65.5293000,65.5293000,65.5293000,0
CHFCB,D,20181024,000000,65.5526000,65.5526000,65.5526000,65.5526000,0
CHFCB,D,20181025,000000,65.8472000,65.8472000,65.8472000,65.8472000,0
CHFCB,D,20181026,000000,65.8596000,65.8596000,65.8596000,65.8596000,0
CHFCB,D,20181027,000000,65.6279000,65.6279000,65.6279000,65.6279000,0
CHFCB,D,20181030,000000,65.8590000,65.8590000,65.8590000,65.8590000,0
CHFCB,D,20181031,000000,65.5644000,65.5644000,65.5644000,65.5644000,0
CHFCB,D,20181101,000000,65.3218000,65.3218000,65.3218000,65.3218000,0
CHFCB,D,20181102,000000,65.3641000,65.3641000,65.3641000,65.3641000,0
CHFCB,D,20181103,000000,65.5602000,65.5602000,65.5602000,65.5602000,0
CHFCB,D,20181107,000000,65.7217000,65.7217000,65.7217000,65.7217000,0
CHFCB,D,20181108,000000,66.1249000,66.1249000,66.1249000,66.1249000,0
CHFCB,D,20181109,000000,66.0965000,66.0965000,66.0965000,66.0965000,0
CHFCB,D,20181110,000000,66.3323000,66.3323000,66.3323000,66.3323000,0
CHFCB,D,20181113,000000,66.8420000,66.8420000,66.8420000,66.8420000,0
CHFCB,D,20181114,000000,66.9514000,66.9514000,66.9514000,66.9514000,0
CHFCB,D,20181115,000000,67.4779000,67.4779000,67.4779000,67.4779000,0
CHFCB,D,20181116,000000,66.3241000,66.3241000,66.3241000,66.3241000,0
CHFCB,D,20181117,000000,65.5930000,65.5930000,65.5930000,65.5930000,0
CHFCB,D,20181120,000000,66.0543000,66.0543000,66.0543000,66.0543000,0
CHFCB,D,20181121,000000,66.1694000,66.1694000,66.1694000,66.1694000,0
CHFCB,D,20181122,000000,66.3199000,66.3199000,66.3199000,66.3199000,0
CHFCB,D,20181123,000000,65.9828000,65.9828000,65.9828000,65.9828000,0
CHFCB,D,20181124,000000,66.0428000,66.0428000,66.0428000,66.0428000,0
CHFCB,D,20181127,000000,66.7408000,66.7408000,66.7408000,66.7408000,0
CHFCB,D,20181128,000000,66.8000000,66.8000000,66.8000000,66.8000000,0
CHFCB,D,20181129,000000,66.9503000,66.9503000,66.9503000,66.9503000,0
CHFCB,D,20181130,000000,67.1445000,67.1445000,67.1445000,67.1445000,0
CHFCB,D,20181201,000000,66.7739000,66.7739000,66.7739000,66.7739000,0
CHFCB,D,20181204,000000,66.4916000,66.4916000,66.4916000,66.4916000,0
CHFCB,D,20181205,000000,66.6935000,66.6935000,66.6935000,66.6935000,0
CHFCB,D,20181206,000000,66.8509000,66.8509000,66.8509000,66.8509000,0
CHFCB,D,20181207,000000,66.8246000,66.8246000,66.8246000,66.8246000,0
CHFCB,D,20181208,000000,67.4012000,67.4012000,67.4012000,67.4012000,0
CHFCB,D,20181211,000000,66.9919000,66.9919000,66.9919000,66.9919000,0
CHFCB,D,20181212,000000,67.3440000,67.3440000,67.3440000,67.3440000,0
CHFCB,D,20181213,000000,66.8840000,66.8840000,66.8840000,66.8840000,0
CHFCB,D,20181214,000000,66.7826000,66.7826000,66.7826000,66.7826000,0
CHFCB,D,20181215,000000,66.7877000,66.7877000,66.7877000,66.7877000,0
CHFCB,D,20181218,000000,66.8079000,66.8079000,66.8079000,66.8079000,0
