<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURCB,D,20000407,000000,27.5700000,27.5700000,27.5700000,27.5700000,0
EURCB,D,20000408,000000,27.4100000,27.4100000,27.4100000,27.4100000,0
EURCB,D,20000411,000000,27.3600000,27.3600000,27.3600000,27.3600000,0
EURCB,D,20000412,000000,27.5100000,27.5100000,27.5100000,27.5100000,0
EURCB,D,20000413,000000,27.3900000,27.3900000,27.3900000,27.3900000,0
EURCB,D,20000414,000000,27.3200000,27.3200000,27.3200000,27.3200000,0
EURCB,D,20000415,000000,27.1700000,27.1700000,27.1700000,27.1700000,0
EURCB,D,20000418,000000,27.5900000,27.5900000,27.5900000,27.5900000,0
EURCB,D,20000419,000000,27.2800000,27.2800000,27.2800000,27.2800000,0
EURCB,D,20000420,000000,27.0700000,27.0700000,27.0700000,27.0700000,0
EURCB,D,20000421,000000,26.9000000,26.9000000,26.9000000,26.9000000,0
EURCB,D,20000422,000000,26.8000000,26.8000000,26.8000000,26.8000000,0
EURCB,D,20000425,000000,26.8000000,26.8000000,26.8000000,26.8000000,0
EURCB,D,20000426,000000,26.7800000,26.7800000,26.7800000,26.7800000,0
EURCB,D,20000427,000000,26.1500000,26.1500000,26.1500000,26.1500000,0
EURCB,D,20000428,000000,26.2000000,26.2000000,26.2000000,26.2000000,0
EURCB,D,20000429,000000,25.8900000,25.8900000,25.8900000,25.8900000,0
EURCB,D,20000504,000000,25.7700000,25.7700000,25.7700000,25.7700000,0
EURCB,D,20000505,000000,25.3100000,25.3100000,25.3100000,25.3100000,0
EURCB,D,20000506,000000,25.2700000,25.2700000,25.2700000,25.2700000,0
EURCB,D,20000507,000000,25.4100000,25.4100000,25.4100000,25.4100000,0
EURCB,D,20000511,000000,25.7200000,25.7200000,25.7200000,25.7200000,0
EURCB,D,20000512,000000,25.6100000,25.6100000,25.6100000,25.6100000,0
EURCB,D,20000513,000000,25.5500000,25.5500000,25.5500000,25.5500000,0
EURCB,D,20000516,000000,25.9400000,25.9400000,25.9400000,25.9400000,0
EURCB,D,20000517,000000,25.7100000,25.7100000,25.7100000,25.7100000,0
EURCB,D,20000518,000000,25.4900000,25.4900000,25.4900000,25.4900000,0
EURCB,D,20000519,000000,25.3400000,25.3400000,25.3400000,25.3400000,0
EURCB,D,20000520,000000,25.3000000,25.3000000,25.3000000,25.3000000,0
EURCB,D,20000523,000000,25.3800000,25.3800000,25.3800000,25.3800000,0
EURCB,D,20000524,000000,25.5900000,25.5900000,25.5900000,25.5900000,0
EURCB,D,20000525,000000,25.6100000,25.6100000,25.6100000,25.6100000,0
EURCB,D,20000526,000000,25.4400000,25.4400000,25.4400000,25.4400000,0
EURCB,D,20000527,000000,25.7900000,25.7900000,25.7900000,25.7900000,0
EURCB,D,20000530,000000,26.3100000,26.3100000,26.3100000,26.3100000,0
EURCB,D,20000531,000000,26.1900000,26.1900000,26.1900000,26.1900000,0
EURCB,D,20000601,000000,26.2700000,26.2700000,26.2700000,26.2700000,0
EURCB,D,20000602,000000,26.4500000,26.4500000,26.4500000,26.4500000,0
EURCB,D,20000603,000000,26.3700000,26.3700000,26.3700000,26.3700000,0
EURCB,D,20000606,000000,26.7500000,26.7500000,26.7500000,26.7500000,0
EURCB,D,20000607,000000,26.8300000,26.8300000,26.8300000,26.8300000,0
EURCB,D,20000608,000000,27.0200000,27.0200000,27.0200000,27.0200000,0
EURCB,D,20000609,000000,27.1100000,27.1100000,27.1100000,27.1100000,0
EURCB,D,20000610,000000,26.9800000,26.9800000,26.9800000,26.9800000,0
EURCB,D,20000614,000000,27.1000000,27.1000000,27.1000000,27.1000000,0
EURCB,D,20000615,000000,27.3000000,27.3000000,27.3000000,27.3000000,0
EURCB,D,20000616,000000,27.1000000,27.1000000,27.1000000,27.1000000,0
EURCB,D,20000617,000000,26.9400000,26.9400000,26.9400000,26.9400000,0
EURCB,D,20000620,000000,27.3100000,27.3100000,27.3100000,27.3100000,0
EURCB,D,20000621,000000,27.0400000,27.0400000,27.0400000,27.0400000,0
EURCB,D,20000622,000000,26.8200000,26.8200000,26.8200000,26.8200000,0
EURCB,D,20000623,000000,26.6800000,26.6800000,26.6800000,26.6800000,0
EURCB,D,20000624,000000,26.3800000,26.3800000,26.3800000,26.3800000,0
EURCB,D,20000627,000000,26.3400000,26.3400000,26.3400000,26.3400000,0
EURCB,D,20000628,000000,26.3800000,26.3800000,26.3800000,26.3800000,0
EURCB,D,20000629,000000,26.5700000,26.5700000,26.5700000,26.5700000,0
EURCB,D,20000630,000000,26.4800000,26.4800000,26.4800000,26.4800000,0
EURCB,D,20000701,000000,26.7200000,26.7200000,26.7200000,26.7200000,0
EURCB,D,20000704,000000,26.7200000,26.7200000,26.7200000,26.7200000,0
EURCB,D,20000705,000000,26.5600000,26.5600000,26.5600000,26.5600000,0
EURCB,D,20000706,000000,26.6600000,26.6600000,26.6600000,26.6600000,0
EURCB,D,20000707,000000,26.7100000,26.7100000,26.7100000,26.7100000,0
EURCB,D,20000708,000000,26.5800000,26.5800000,26.5800000,26.5800000,0
EURCB,D,20000711,000000,26.6300000,26.6300000,26.6300000,26.6300000,0
EURCB,D,20000712,000000,26.6400000,26.6400000,26.6400000,26.6400000,0
EURCB,D,20000713,000000,26.5000000,26.5000000,26.5000000,26.5000000,0
EURCB,D,20000714,000000,26.2200000,26.2200000,26.2200000,26.2200000,0
EURCB,D,20000715,000000,26.0300000,26.0300000,26.0300000,26.0300000,0
EURCB,D,20000718,000000,26.1100000,26.1100000,26.1100000,26.1100000,0
EURCB,D,20000719,000000,26.0100000,26.0100000,26.0100000,26.0100000,0
EURCB,D,20000720,000000,25.6700000,25.6700000,25.6700000,25.6700000,0
EURCB,D,20000721,000000,25.5900000,25.5900000,25.5900000,25.5900000,0
EURCB,D,20000722,000000,25.7700000,25.7700000,25.7700000,25.7700000,0
EURCB,D,20000725,000000,25.8600000,25.8600000,25.8600000,25.8600000,0
EURCB,D,20000726,000000,25.8300000,25.8300000,25.8300000,25.8300000,0
EURCB,D,20000727,000000,26.0000000,26.0000000,26.0000000,26.0000000,0
EURCB,D,20000728,000000,26.1500000,26.1500000,26.1500000,26.1500000,0
EURCB,D,20000729,000000,25.9200000,25.9200000,25.9200000,25.9200000,0
EURCB,D,20000801,000000,25.6700000,25.6700000,25.6700000,25.6700000,0
EURCB,D,20000802,000000,25.8300000,25.8300000,25.8300000,25.8300000,0
EURCB,D,20000803,000000,25.4900000,25.4900000,25.4900000,25.4900000,0
EURCB,D,20000804,000000,25.4800000,25.4800000,25.4800000,25.4800000,0
EURCB,D,20000805,000000,25.1200000,25.1200000,25.1200000,25.1200000,0
EURCB,D,20000808,000000,25.2000000,25.2000000,25.2000000,25.2000000,0
EURCB,D,20000809,000000,25.1600000,25.1600000,25.1600000,25.1600000,0
EURCB,D,20000810,000000,24.9400000,24.9400000,24.9400000,24.9400000,0
EURCB,D,20000811,000000,25.0200000,25.0200000,25.0200000,25.0200000,0
EURCB,D,20000812,000000,25.1300000,25.1300000,25.1300000,25.1300000,0
EURCB,D,20000815,000000,24.9900000,24.9900000,24.9900000,24.9900000,0
EURCB,D,20000816,000000,25.1400000,25.1400000,25.1400000,25.1400000,0
EURCB,D,20000817,000000,25.4000000,25.4000000,25.4000000,25.4000000,0
EURCB,D,20000818,000000,25.3600000,25.3600000,25.3600000,25.3600000,0
