<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,20000407,000000,247.9600000,247.9600000,247.9600000,247.9600000,0
IMOEX,D,20000410,000000,253.2800000,253.2800000,253.2800000,253.2800000,0
IMOEX,D,20000411,000000,249.6800000,249.6800000,249.6800000,249.6800000,0
IMOEX,D,20000412,000000,248.1000000,248.1000000,248.1000000,248.1000000,0
IMOEX,D,20000413,000000,243.7300000,243.7300000,243.7300000,243.7300000,0
IMOEX,D,20000414,000000,245.8700000,245.8700000,245.8700000,245.8700000,0
IMOEX,D,20000417,000000,226.0400000,226.0400000,226.0400000,226.0400000,0
IMOEX,D,20000418,000000,227.9800000,227.9800000,227.9800000,227.9800000,0
IMOEX,D,20000419,000000,226.2100000,226.2100000,226.2100000,226.2100000,0
IMOEX,D,20000420,000000,226.6400000,226.6400000,226.6400000,226.6400000,0
IMOEX,D,20000421,000000,230.4500000,230.4500000,230.4500000,230.4500000,0
IMOEX,D,20000424,000000,225.2800000,225.2800000,225.2800000,225.2800000,0
IMOEX,D,20000425,000000,227.7700000,227.7700000,227.7700000,227.7700000,0
IMOEX,D,20000426,000000,237.0100000,237.0100000,237.0100000,237.0100000,0
IMOEX,D,20000427,000000,238.6200000,238.6200000,238.6200000,238.6200000,0
IMOEX,D,20000428,000000,242.8500000,242.8500000,242.8500000,242.8500000,0
IMOEX,D,20000503,000000,244.8800000,244.8800000,244.8800000,244.8800000,0
IMOEX,D,20000504,000000,250.2600000,250.2600000,250.2600000,250.2600000,0
IMOEX,D,20000505,000000,249.9600000,249.9600000,249.9600000,249.9600000,0
IMOEX,D,20000506,000000,254.4500000,254.4500000,254.4500000,254.4500000,0
IMOEX,D,20000510,000000,251.3400000,251.3400000,251.3400000,251.3400000,0
IMOEX,D,20000511,000000,244.7000000,244.7000000,244.7000000,244.7000000,0
IMOEX,D,20000512,000000,241.3000000,241.3000000,241.3000000,241.3000000,0
IMOEX,D,20000515,000000,236.2600000,236.2600000,236.2600000,236.2600000,0
IMOEX,D,20000516,000000,239.9000000,239.9000000,239.9000000,239.9000000,0
IMOEX,D,20000517,000000,235.7700000,235.7700000,235.7700000,235.7700000,0
IMOEX,D,20000518,000000,228.2000000,228.2000000,228.2000000,228.2000000,0
IMOEX,D,20000519,000000,218.3000000,218.3000000,218.3000000,218.3000000,0
IMOEX,D,20000522,000000,210.6900000,210.6900000,210.6900000,210.6900000,0
IMOEX,D,20000523,000000,201.9000000,201.9000000,201.9000000,201.9000000,0
IMOEX,D,20000524,000000,190.5400000,190.5400000,190.5400000,190.5400000,0
IMOEX,D,20000525,000000,204.8300000,204.8300000,204.8300000,204.8300000,0
IMOEX,D,20000526,000000,209.3000000,209.3000000,209.3000000,209.3000000,0
IMOEX,D,20000529,000000,213.6700000,213.6700000,213.6700000,213.6700000,0
IMOEX,D,20000530,000000,213.4500000,213.4500000,213.4500000,213.4500000,0
IMOEX,D,20000531,000000,217.0500000,217.0500000,217.0500000,217.0500000,0
IMOEX,D,20000601,000000,221.1000000,221.1000000,221.1000000,221.1000000,0
IMOEX,D,20000602,000000,224.9400000,224.9400000,224.9400000,224.9400000,0
IMOEX,D,20000605,000000,233.2800000,233.2800000,233.2800000,233.2800000,0
IMOEX,D,20000606,000000,227.5700000,227.5700000,227.5700000,227.5700000,0
