<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JPYCB,D,20181009,000000,0.5894850,0.5894850,0.5894850,0.5894850,0
JPYCB,D,20181010,000000,0.5867820,0.5867820,0.5867820,0.5867820,0
JPYCB,D,20181011,000000,0.5849410,0.5849410,0.5849410,0.5849410,0
JPYCB,D,20181012,000000,0.5943540,0.5943540,0.5943540,0.5943540,0
JPYCB,D,20181013,000000,0.5873590,0.5873590,0.5873590,0.5873590,0
JPYCB,D,20181016,000000,0.5884000,0.5884000,0.5884000,0.5884000,0
JPYCB,D,20181017,000000,0.5842850,0.5842850,0.5842850,0.5842850,0
JPYCB,D,20181018,000000,0.5826770,0.5826770,0.5826770,0.5826770,0
JPYCB,D,20181019,000000,0.5838220,0.5838220,0.5838220,0.5838220,0
JPYCB,D,20181020,000000,0.5854560,0.5854560,0.5854560,0.5854560,0
JPYCB,D,20181023,000000,0.5792410,0.5792410,0.5792410,0.5792410,0
JPYCB,D,20181024,000000,0.5815940,0.5815940,0.5815940,0.5815940,0
JPYCB,D,20181025,000000,0.5834550,0.5834550,0.5834550,0.5834550,0
JPYCB,D,20181026,000000,0.5853860,0.5853860,0.5853860,0.5853860,0
JPYCB,D,20181027,000000,0.5858390,0.5858390,0.5858390,0.5858390,0
JPYCB,D,20181030,000000,0.5879040,0.5879040,0.5879040,0.5879040,0
JPYCB,D,20181031,000000,0.5828200,0.5828200,0.5828200,0.5828200,0
JPYCB,D,20181101,000000,0.5799580,0.5799580,0.5799580,0.5799580,0
JPYCB,D,20181102,000000,0.5815800,0.5815800,0.5815800,0.5815800,0
JPYCB,D,20181103,000000,0.5807640,0.5807640,0.5807640,0.5807640,0
JPYCB,D,20181107,000000,0.5824720,0.5824720,0.5824720,0.5824720,0
JPYCB,D,20181108,000000,0.5839010,0.5839010,0.5839010,0.5839010,0
JPYCB,D,20181109,000000,0.5822930,0.5822930,0.5822930,0.5822930,0
JPYCB,D,20181110,000000,0.5873800,0.5873800,0.5873800,0.5873800,0
JPYCB,D,20181113,000000,0.5916650,0.5916650,0.5916650,0.5916650,0
JPYCB,D,20181114,000000,0.5931480,0.5931480,0.5931480,0.5931480,0
JPYCB,D,20181115,000000,0.5970720,0.5970720,0.5970720,0.5970720,0
JPYCB,D,20181116,000000,0.5871570,0.5871570,0.5871570,0.5871570,0
JPYCB,D,20181117,000000,0.5826950,0.5826950,0.5826950,0.5826950,0
JPYCB,D,20181120,000000,0.5851000,0.5851000,0.5851000,0.5851000,0
JPYCB,D,20181121,000000,0.5832820,0.5832820,0.5832820,0.5832820,0
JPYCB,D,20181122,000000,0.5842870,0.5842870,0.5842870,0.5842870,0
JPYCB,D,20181123,000000,0.5807700,0.5807700,0.5807700,0.5807700,0
JPYCB,D,20181124,000000,0.5818650,0.5818650,0.5818650,0.5818650,0
JPYCB,D,20181127,000000,0.5869230,0.5869230,0.5869230,0.5869230,0
JPYCB,D,20181128,000000,0.5880070,0.5880070,0.5880070,0.5880070,0
JPYCB,D,20181129,000000,0.5879720,0.5879720,0.5879720,0.5879720,0
JPYCB,D,20181130,000000,0.5882520,0.5882520,0.5882520,0.5882520,0
JPYCB,D,20181201,000000,0.5865340,0.5865340,0.5865340,0.5865340,0
JPYCB,D,20181204,000000,0.5840970,0.5840970,0.5840970,0.5840970,0
JPYCB,D,20181205,000000,0.5876860,0.5876860,0.5876860,0.5876860,0
JPYCB,D,20181206,000000,0.5911810,0.5911810,0.5911810,0.5911810,0
JPYCB,D,20181207,000000,0.5904680,0.5904680,0.5904680,0.5904680,0
JPYCB,D,20181208,000000,0.5932600,0.5932600,0.5932600,0.5932600,0
JPYCB,D,20181211,000000,0.5881610,0.5881610,0.5881610,0.5881610,0
JPYCB,D,20181212,000000,0.5881770,0.5881770,0.5881770,0.5881770,0
JPYCB,D,20181213,000000,0.5854520,0.5854520,0.5854520,0.5854520,0
JPYCB,D,20181214,000000,0.5837960,0.5837960,0.5837960,0.5837960,0
JPYCB,D,20181215,000000,0.5848810,0.5848810,0.5848810,0.5848810,0
JPYCB,D,20181218,000000,0.5875110,0.5875110,0.5875110,0.5875110,0
JPYCB,D,20181219,000000,0.5934240,0.5934240,0.5934240,0.5934240,0
JPYCB,D,20181220,000000,0.5972690,0.5972690,0.5972690,0.5972690,0
JPYCB,D,20181221,000000,0.6023070,0.6023070,0.6023070,0.6023070,0
JPYCB,D,20181222,000000,0.6122200,0.6122200,0.6122200,0.6122200,0
JPYCB,D,20181225,000000,0.6166430,0.6166430,0.6166430,0.6166430,0
JPYCB,D,20181226,000000,0.6233380,0.6233380,0.6233380,0.6233380,0
JPYCB,D,20181227,000000,0.6233790,0.6233790,0.6233790,0.6233790,0
JPYCB,D,20181228,000000,0.6208700,0.6208700,0.6208700,0.6208700,0
JPYCB,D,20181229,000000,0.6293560,0.6293560,0.6293560,0.6293560,0
JPYCB,D,20181230,000000,0.6299760,0.6299760,0.6299760,0.6299760,0
JPYCB,D,20190110,000000,0.6160870,0.6160870,0.6160870,0.6160870,0
JPYCB,D,20190111,000000,0.6195380,0.6195380,0.6195380,0.6195380,0
JPYCB,D,20190112,000000,0.6178540,0.6178540,0.6178540,0.6178540,0
JPYCB,D,20190115,000000,0.6212570,0.6212570,0.6212570,0.6212570,0
JPYCB,D,20190116,000000,0.6174420,0.6174420,0.6174420,0.6174420,0
JPYCB,D,20190117,000000,0.6148340,0.6148340,0.6148340,0.6148340,0
JPYCB,D,20190118,000000,0.6108930,0.6108930,0.6108930,0.6108930,0
JPYCB,D,20190119,000000,0.6060660,0.6060660,0.6060660,0.6060660,0
JPYCB,D,20190122,000000,0.6052570,0.6052570,0.6052570,0.6052570,0
JPYCB,D,20190123,000000,0.6083450,0.6083450,0.6083450,0.6083450,0
JPYCB,D,20190124,000000,0.6053000,0.6053000,0.6053000,0.6053000,0
JPYCB,D,20190125,000000,0.6018470,0.6018470,0.6018470,0.6018470,0
JPYCB,D,20190126,000000,0.6003640,0.6003640,0.6003640,0.6003640,0
JPYCB,D,20190129,000000,0.6026230,0.6026230,0.6026230,0.6026230,0
JPYCB,D,20190130,000000,0.6074370,0.6074370,0.6074370,0.6074370,0
JPYCB,D,20190131,000000,0.6046630,0.6046630,0.6046630,0.6046630,0
JPYCB,D,20190201,000000,0.6014050,0.6014050,0.6014050,0.6014050,0
JPYCB,D,20190202,000000,0.6026350,0.6026350,0.6026350,0.6026350,0
JPYCB,D,20190205,000000,0.5969140,0.5969140,0.5969140,0.5969140,0
JPYCB,D,20190206,000000,0.5965440,0.5965440,0.5965440,0.5965440,0
