<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
N225JAP,D,20020115,000000,10.359.4400000,10.359.4400000,10.208.0500000,10.208.0500000,0
N225JAP,D,20020117,000000,10.228.9900000,10.228.9900000,10.078.6000000,10.128.1800000,0
N225JAP,D,20020118,000000,10.151.4300000,10.293.3200000,10.151.4300000,10.293.3200000,0
N225JAP,D,20020121,000000,10.169.8000000,10.376.7400000,10.169.8000000,10.280.2500000,0
N225JAP,D,20020122,000000,10.249.6800000,10.262.6100000,10.050.9800000,10.050.9800000,0
N225JAP,D,20020125,000000,10.080.1800000,10.144.1400000,10.045.0300000,10.144.1400000,0
N225JAP,D,20020129,000000,10.191.7500000,10.191.7500000,10.026.0300000,10.026.0300000,0
N225JAP,D,20020130,000000,9.921.7300000,9.938.3300000,9.843.1200000,9.896.0200000,0
N225JAP,D,20020131,000000,9.962.3500000,10.012.1500000,9.896.8400000,9.997.8000000,0
N225JAP,D,20020201,000000,10.026.9600000,10.032.2500000,9.735.0500000,9.791.4300000,0
N225JAP,D,20020205,000000,9.577.1700000,9.683.9300000,9.473.4600000,9.475.6000000,0
N225JAP,D,20020206,000000,9.494.6200000,9.602.5200000,9.420.8500000,9.420.8500000,0
N225JAP,D,20020207,000000,9.481.0900000,9.634.7900000,9.458.7000000,9.583.2700000,0
N225JAP,D,20020208,000000,9.564.7500000,9.753.7500000,9.538.4500000,9.686.0600000,0
N225JAP,D,20020219,000000,10.113.6900000,10.129.3400000,9.847.1600000,9.847.1600000,0
N225JAP,D,20020225,000000,10.394.7300000,10.446.2800000,10.289.8300000,10.296.4700000,0
N225JAP,D,20020226,000000,10.405.4600000,10.458.8700000,10.183.5200000,10.202.6300000,0
N225JAP,D,20020227,000000,10.268.8700000,10.573.0900000,10.268.8700000,10.573.0900000,0
N225JAP,D,20020228,000000,10.587.8300000,10.587.8300000,10.587.8300000,10.587.8300000,0
N225JAP,D,20020301,000000,10.641.3600000,10.813.4500000,10.540.3100000,10.812.0000000,0
N225JAP,D,20020304,000000,10.942.5000000,11.450.2200000,10.941.3600000,11.450.2200000,0
N225JAP,D,20020305,000000,11.529.2100000,11.602.7500000,11.348.4500000,11.348.4500000,0
N225JAP,D,20020306,000000,11.375.8700000,11.648.3800000,11.358.5300000,11.358.5300000,0
N225JAP,D,20020307,000000,11.473.6300000,11.690.3600000,11.472.8800000,11.648.3400000,0
N225JAP,D,20020308,000000,11.710.2000000,12.010.2500000,11.634.3100000,11.885.7900000,0
N225JAP,D,20020311,000000,11.941.9200000,12.034.0400000,11.772.8600000,11.919.3000000,0
N225JAP,D,20020312,000000,11.863.7100000,11.912.2900000,11.607.3300000,11.607.3300000,0
N225JAP,D,20020313,000000,11.548.2400000,11.774.1800000,11.415.3100000,11.415.3100000,0
N225JAP,D,20020314,000000,11.471.8300000,11.568.8200000,11.347.2500000,11.568.8200000,0
N225JAP,D,20020315,000000,11.594.8700000,11.709.4400000,11.537.8900000,11.648.0100000,0
N225JAP,D,20020318,000000,11.745.8100000,11.789.4600000,11.477.6800000,11.498.3800000,0
N225JAP,D,20020319,000000,11.597.8600000,11.792.8200000,11.597.8600000,11.792.8200000,0
N225JAP,D,20020320,000000,11.833.9700000,11.833.9700000,11.503.7900000,11.526.7800000,0
N225JAP,D,20020322,000000,11.460.9500000,11.519.6800000,11.326.2200000,11.345.0800000,0
N225JAP,D,20020325,000000,11.339.0600000,11.378.7800000,11.166.9200000,11.261.0900000,0
N225JAP,D,20020326,000000,11.214.2500000,11.524.2300000,11.165.0000000,11.207.9200000,0
N225JAP,D,20020327,000000,11.251.7000000,11.421.0100000,11.190.3900000,11.323.6800000,0
N225JAP,D,20020328,000000,11.313.5600000,11.348.2200000,11.240.9900000,11.333.1100000,0
N225JAP,D,20020329,000000,11.350.3500000,11.389.6000000,11.024.9400000,11.024.9400000,0
N225JAP,D,20020401,000000,11.106.0700000,11.148.5000000,11.007.6300000,11.028.7000000,0
N225JAP,D,20020402,000000,11.142.8300000,11.156.1200000,11.061.3800000,11.120.1100000,0
N225JAP,D,20020403,000000,11.103.7200000,11.476.9400000,11.042.2500000,11.400.7100000,0
N225JAP,D,20020404,000000,11.430.2500000,11.537.1300000,11.336.2000000,11.379.2000000,0
N225JAP,D,20020405,000000,11.366.4000000,11.412.9900000,11.301.9500000,11.335.4900000,0
N225JAP,D,20020408,000000,11.321.2800000,11.430.0300000,11.265.1800000,11.352.8900000,0
N225JAP,D,20020409,000000,11.337.4900000,11.363.2000000,11.113.0800000,11.114.4900000,0
N225JAP,D,20020410,000000,11.265.2500000,11.265.2500000,11.135.3500000,11.218.5800000,0
N225JAP,D,20020411,000000,11.222.1400000,11.226.7200000,11.147.2700000,11.147.2700000,0
N225JAP,D,20020412,000000,11.074.3000000,11.090.5800000,10.896.1200000,10.962.9800000,0
N225JAP,D,20020415,000000,11.066.4100000,11.138.7000000,11.021.3400000,11.137.3000000,0
N225JAP,D,20020416,000000,11.260.1500000,11.346.6600000,11.245.7400000,11.346.6600000,0
N225JAP,D,20020417,000000,11.448.2200000,11.544.8300000,11.448.2200000,11.543.7100000,0
N225JAP,D,20020418,000000,11.583.1600000,11.603.5500000,11.485.0900000,11.575.7300000,0
N225JAP,D,20020419,000000,11.434.8300000,11.525.8800000,11.386.7200000,11.512.0100000,0
N225JAP,D,20020422,000000,11.659.5400000,11.765.0500000,11.639.8000000,11.721.6400000,0
N225JAP,D,20020423,000000,11.724.8800000,11.812.9900000,11.708.4400000,11.736.8300000,0
N225JAP,D,20020424,000000,11.682.9900000,11.748.7700000,11.667.5300000,11.672.8800000,0
N225JAP,D,20020425,000000,11.633.8700000,11.657.2600000,11.583.0700000,11.648.7200000,0
N225JAP,D,20020426,000000,11.527.6200000,11.555.8700000,11.464.5900000,11.541.3900000,0
N225JAP,D,20020430,000000,11.461.7100000,11.520.4700000,11.452.2500000,11.492.5400000,0
N225JAP,D,20020501,000000,11.554.0100000,11.581.7900000,11.528.2900000,11.552.7900000,0
N225JAP,D,20020502,000000,11.543.5900000,11.558.2900000,11.525.2500000,11.551.0100000,0
N225JAP,D,20020507,000000,11.305.5800000,11.324.7900000,11.250.8600000,11.316.0400000,0
N225JAP,D,20020508,000000,11.555.3800000,11.555.3800000,11.473.9000000,11.520.7500000,0
N225JAP,D,20020509,000000,11.674.9200000,11.684.9800000,11.620.5200000,11.633.3000000,0
N225JAP,D,20020510,000000,11.563.4200000,11.587.4300000,11.529.4800000,11.531.1100000,0
N225JAP,D,20020513,000000,11.322.6500000,11.366.5600000,11.322.6500000,11.336.9500000,0
N225JAP,D,20020514,000000,11.404.7800000,11.417.1200000,11.336.8100000,11.356.1900000,0
N225JAP,D,20020515,000000,11.596.0600000,11.693.9100000,11.581.7600000,11.642.9700000,0
N225JAP,D,20020516,000000,11.625.3100000,11.747.3500000,11.613.4200000,11.738.6900000,0
N225JAP,D,20020517,000000,11.830.8300000,11.878.3700000,11.817.6500000,11.847.3200000,0
N225JAP,D,20020520,000000,11.893.4900000,11.942.9100000,11.856.5400000,11.856.5400000,0
N225JAP,D,20020521,000000,11.792.6000000,11.813.0500000,11.765.2100000,11.801.1600000,0
N225JAP,D,20020522,000000,11.909.1600000,11.961.9800000,11.876.5000000,11.961.9800000,0
