<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NASDAQCOMP,D,20000407,000000,4.354.1300000,4.446.4500000,4.323.1800000,4.446.4500000,0
NASDAQCOMP,D,20000410,000000,4.475.2000000,4.475.2000000,4.188.1700000,4.188.2000000,0
NASDAQCOMP,D,20000411,000000,4.094.6100000,4.182.9600000,4.009.5200000,4.055.9000000,0
NASDAQCOMP,D,20000412,000000,4.050.3200000,4.077.9200000,3.769.1700000,3.769.6300000,0
NASDAQCOMP,D,20000413,000000,3.839.5600000,3.914.6800000,3.676.6700000,3.676.7800000,0
NASDAQCOMP,D,20000414,000000,3.597.4400000,3.615.6400000,3.265.9800000,3.321.2900000,0
NASDAQCOMP,D,20000417,000000,3.232.9400000,3.539.7700000,3.227.0400000,3.539.1600000,0
NASDAQCOMP,D,20000418,000000,3.596.1500000,3.794.9700000,3.563.8300000,3.793.5700000,0
NASDAQCOMP,D,20000419,000000,3.832.6500000,3.851.5600000,3.698.3300000,3.706.4100000,0
NASDAQCOMP,D,20000420,000000,3.735.0800000,3.751.3300000,3.599.6800000,3.643.8800000,0
NASDAQCOMP,D,20000424,000000,3.466.6900000,3.496.8200000,3.345.2500000,3.482.4800000,0
NASDAQCOMP,D,20000425,000000,3.592.7300000,3.711.5700000,3.583.9200000,3.711.2300000,0
NASDAQCOMP,D,20000426,000000,3.728.9900000,3.777.0800000,3.629.3600000,3.630.0900000,0
NASDAQCOMP,D,20000427,000000,3.519.1300000,3.774.1100000,3.513.7600000,3.774.0300000,0
NASDAQCOMP,D,20000428,000000,3.830.6100000,3.873.8500000,3.774.0300000,3.860.6600000,0
NASDAQCOMP,D,20000501,000000,3.930.1800000,3.982.3800000,3.899.7100000,3.958.0800000,0
NASDAQCOMP,D,20000502,000000,3.927.9200000,3.948.6300000,3.784.5400000,3.785.4500000,0
NASDAQCOMP,D,20000503,000000,3.755.3000000,3.787.4300000,3.592.7900000,3.707.3100000,0
NASDAQCOMP,D,20000504,000000,3.723.2700000,3.762.4700000,3.679.4300000,3.720.2400000,0
NASDAQCOMP,D,20000505,000000,3.694.2800000,3.818.4000000,3.694.2800000,3.816.8200000,0
NASDAQCOMP,D,20000508,000000,3.758.4600000,3.765.2200000,3.669.1100000,3.669.3800000,0
NASDAQCOMP,D,20000509,000000,3.704.8500000,3.708.7400000,3.540.8200000,3.585.0100000,0
NASDAQCOMP,D,20000510,000000,3.525.0200000,3.584.8300000,3.367.0600000,3.384.7300000,0
