<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.PA,D,20070911,000000,338.7500000,339.7500000,335.1500000,338.2500000,387
NYMEX.PA,D,20070912,000000,338.8500000,348.0000000,337.0500000,338.5000000,240
NYMEX.PA,D,20070913,000000,336.8500000,338.8500000,331.0000000,336.5000000,335
NYMEX.PA,D,20070914,000000,336.6000000,336.6000000,324.5000000,333.7500000,610
NYMEX.PA,D,20070917,000000,334.0000000,336.0000000,328.5000000,333.5500000,395
NYMEX.PA,D,20070918,000000,334.4500000,335.7500000,333.0000000,334.9500000,280
NYMEX.PA,D,20070919,000000,336.0000000,337.9500000,334.0000000,336.0000000,608
NYMEX.PA,D,20070920,000000,336.2000000,346.0000000,335.0000000,342.5000000,1.242
NYMEX.PA,D,20070921,000000,343.2000000,346.0500000,340.0000000,343.0000000,606
NYMEX.PA,D,20070924,000000,343.0000000,349.0000000,339.1000000,343.0000000,411
NYMEX.PA,D,20070925,000000,344.7000000,344.7000000,338.2500000,342.0000000,312
NYMEX.PA,D,20070926,000000,341.0500000,345.5000000,340.3000000,344.4500000,549
NYMEX.PA,D,20070927,000000,344.9500000,348.0000000,343.5000000,347.0000000,738
NYMEX.PA,D,20070928,000000,347.0000000,353.0000000,346.0000000,352.0000000,824
NYMEX.PA,D,20070929,000000,352.2000000,352.2500000,352.2000000,352.2500000,2
NYMEX.PA,D,20071001,000000,353.0000000,363.5000000,350.0000000,361.0000000,790
NYMEX.PA,D,20071002,000000,354.9000000,355.2000000,346.9500000,353.0000000,921
NYMEX.PA,D,20071003,000000,353.0000000,362.5000000,351.5000000,359.5000000,786
NYMEX.PA,D,20071004,000000,359.5500000,373.0000000,359.0000000,369.5000000,1.448
NYMEX.PA,D,20071005,000000,369.0000000,373.9000000,367.5000000,368.8000000,957
NYMEX.PA,D,20071006,000000,368.5000000,368.5000000,368.2500000,368.2500000,6
NYMEX.PA,D,20071008,000000,369.5000000,370.7500000,360.2500000,364.0000000,506
NYMEX.PA,D,20071009,000000,365.2500000,367.6000000,359.0000000,366.5000000,593
NYMEX.PA,D,20071010,000000,366.5000000,380.0000000,365.5500000,377.5000000,1.289
NYMEX.PA,D,20071011,000000,377.8000000,387.0000000,375.0000000,379.7500000,993
NYMEX.PA,D,20071012,000000,377.6000000,385.5000000,376.1000000,378.0000000,327
NYMEX.PA,D,20071013,000000,380.0000000,380.0000000,376.1000000,376.1000000,2
NYMEX.PA,D,20071015,000000,376.1000000,385.0000000,371.0000000,375.0000000,1.004
NYMEX.PA,D,20071016,000000,375.5000000,378.0000000,365.1000000,376.1000000,978
NYMEX.PA,D,20071017,000000,375.4500000,376.8000000,368.0000000,372.0000000,390
NYMEX.PA,D,20071018,000000,374.6000000,376.5000000,371.9500000,374.7500000,289
NYMEX.PA,D,20071019,000000,374.7500000,375.0000000,367.1000000,369.0000000,234
NYMEX.PA,D,20071022,000000,371.0000000,371.0000000,355.0000000,364.2000000,479
