<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,D,20000407,000000,219.1500000,221.2700000,218.3100000,221.2700000,27.619.050
RTSI,D,20000410,000000,222.0100000,229.1400000,222.0100000,229.1400000,29.829.114
RTSI,D,20000411,000000,223.5200000,225.3000000,222.3200000,222.3200000,34.430.450
RTSI,D,20000412,000000,224.1300000,225.5100000,224.0700000,224.9200000,17.174.854
RTSI,D,20000413,000000,222.2100000,223.2200000,221.9600000,222.0400000,17.970.575
RTSI,D,20000414,000000,221.8800000,226.4700000,220.6700000,220.6700000,24.527.312
RTSI,D,20000417,000000,204.7500000,205.9900000,203.3800000,203.3800000,30.203.431
RTSI,D,20000418,000000,210.1400000,210.1400000,202.2500000,202.9500000,23.565.288
RTSI,D,20000419,000000,209.0900000,209.0900000,203.6200000,204.6300000,23.408.976
RTSI,D,20000420,000000,205.3000000,208.7300000,205.3000000,208.7300000,17.035.015
RTSI,D,20000421,000000,212.6000000,213.2900000,211.8500000,213.2900000,20.580.766
RTSI,D,20000424,000000,210.0100000,210.0100000,206.1900000,206.1900000,9.448.453
RTSI,D,20000425,000000,211.1600000,213.0500000,211.1600000,213.0500000,19.777.228
RTSI,D,20000426,000000,218.3400000,222.5800000,218.3400000,221.1700000,30.589.048
RTSI,D,20000427,000000,223.7000000,224.7800000,218.0000000,218.0000000,32.332.336
RTSI,D,20000428,000000,225.1200000,226.8700000,223.8200000,226.8700000,26.672.279
RTSI,D,20000503,000000,228.7300000,228.9200000,227.4600000,227.4600000,10.537.276
RTSI,D,20000504,000000,225.7500000,226.6900000,225.3800000,225.3800000,13.059.853
RTSI,D,20000505,000000,226.4500000,227.4800000,225.2200000,225.3800000,15.186.368
RTSI,D,20000506,000000,227.6000000,229.3500000,227.6000000,228.9700000,4.527.160
RTSI,D,20000510,000000,230.2900000,230.4300000,227.1500000,227.1500000,22.573.406
RTSI,D,20000511,000000,222.2200000,223.3100000,221.0700000,222.9300000,20.932.825
RTSI,D,20000512,000000,221.6800000,221.6800000,218.0200000,219.5200000,16.699.180
RTSI,D,20000515,000000,216.6300000,216.9000000,213.8200000,215.2700000,21.818.245
RTSI,D,20000516,000000,216.6200000,220.9600000,216.6200000,220.0100000,27.864.659
RTSI,D,20000517,000000,217.8500000,217.8500000,209.8000000,209.8000000,28.253.463
RTSI,D,20000518,000000,203.3800000,207.2100000,203.3800000,204.6200000,27.143.274
RTSI,D,20000519,000000,201.5500000,201.5500000,188.2500000,190.5000000,30.073.251
RTSI,D,20000522,000000,185.2200000,187.9700000,184.7800000,184.7800000,21.528.337
RTSI,D,20000523,000000,181.7400000,182.3900000,171.2700000,171.8200000,23.565.319
RTSI,D,20000524,000000,159.5600000,167.0500000,156.5600000,167.0500000,30.854.950
RTSI,D,20000525,000000,174.6000000,178.2700000,174.6000000,177.5900000,22.548.021
RTSI,D,20000526,000000,177.1400000,187.6500000,177.1400000,185.5300000,22.125.617
RTSI,D,20000529,000000,188.8200000,190.4100000,183.7000000,184.1100000,14.979.845
RTSI,D,20000530,000000,184.2100000,189.2000000,184.2100000,188.5800000,13.932.976
RTSI,D,20000531,000000,191.6300000,191.6300000,188.9500000,190.2100000,25.199.053
RTSI,D,20000601,000000,192.4100000,194.9600000,192.4100000,194.7500000,21.404.674
RTSI,D,20000602,000000,194.6200000,202.2500000,193.5900000,202.2500000,31.635.502
RTSI,D,20000605,000000,208.3200000,208.3200000,200.9500000,200.9500000,27.871.096
RTSI,D,20000606,000000,199.1100000,201.9700000,194.8000000,194.8000000,21.752.648
RTSI,D,20000607,000000,191.2300000,193.9200000,188.1500000,193.9200000,26.567.624
RTSI,D,20000608,000000,198.8100000,200.7800000,198.6300000,199.6400000,27.581.487
