<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHANGHAI,D,20071008,000000,5.717.5640000,5.728.2910000,5.688.4620000,5.692.7550000,44.575.535
SHANGHAI,D,20071009,000000,5.678.9130000,5.724.7530000,5.638.0730000,5.715.8920000,84.610.489
SHANGHAI,D,20071010,000000,5.742.6480000,5.855.8230000,5.734.1230000,5.771.4640000,90.844.872
SHANGHAI,D,20071011,000000,5.798.3860000,5.914.1390000,5.757.7210000,5.913.2300000,94.009.301
SHANGHAI,D,20071012,000000,5.950.9020000,5.954.7040000,5.662.2150000,5.903.2640000,119.148.135
SHANGHAI,D,20071015,000000,5.934.7750000,6.037.3870000,5.867.1030000,6.030.0860000,98.707.247
SHANGHAI,D,20071016,000000,6.056.9460000,6.122.6830000,6.043.2890000,6.092.0570000,87.271.753
SHANGHAI,D,20071017,000000,6.057.4280000,6.087.4610000,5.990.1620000,6.036.2810000,71.312.510
SHANGHAI,D,20071018,000000,6.031.9160000,6.054.0070000,5.809.0650000,5.825.2820000,68.647.498
SHANGHAI,D,20071019,000000,5.869.1240000,5.927.9940000,5.767.9060000,5.818.0470000,56.410.064
SHANGHAI,D,20071022,000000,5.742.7910000,5.804.1800000,5.656.3470000,5.667.3320000,52.478.443
SHANGHAI,D,20071023,000000,5.660.0660000,5.775.6550000,5.575.8330000,5.773.3870000,59.665.945
SHANGHAI,D,20071024,000000,5.840.8460000,5.903.1880000,5.834.1480000,5.843.1090000,30.223.302
SHANGHAI,D,20071025,000000,5.794.2230000,5.814.9740000,5.548.8080000,5.562.3940000,71.714.397
SHANGHAI,D,20071026,000000,5.562.3570000,5.627.8640000,5.466.9910000,5.589.6310000,53.444.123
SHANGHAI,D,20071029,000000,5.641.9830000,5.749.3750000,5.622.9910000,5.747.9970000,51.096.395
SHANGHAI,D,20071030,000000,5.769.2030000,5.897.8340000,5.708.5800000,5.897.1930000,54.278.812
SHANGHAI,D,20071031,000000,5.984.7130000,5.986.9040000,5.875.6400000,5.954.7650000,70.349.454
SHANGHAI,D,20071101,000000,5.954.7650000,6.004.6880000,5.914.1820000,5.914.2850000,66.065.080
SHANGHAI,D,20071102,000000,5.812.4650000,5.860.5940000,5.744.7440000,5.777.8090000,59.541.559
SHANGHAI,D,20071105,000000,5.748.1760000,5.785.2780000,5.605.6350000,5.634.4520000,64.132.554
SHANGHAI,D,20071106,000000,5.593.3470000,5.648.5140000,5.512.6680000,5.536.5690000,44.615.594
SHANGHAI,D,20071107,000000,5.565.6480000,5.607.9500000,5.471.2640000,5.601.7830000,42.730.319
SHANGHAI,D,20071108,000000,5.601.7830000,5.601.7830000,5.329.8390000,5.330.0230000,49.152.951
SHANGHAI,D,20071109,000000,5.276.0080000,5.381.2430000,5.220.1100000,5.315.5400000,47.341.251
SHANGHAI,D,20071112,000000,5.181.1750000,5.248.8940000,5.036.0930000,5.187.7350000,52.582.703
SHANGHAI,D,20071113,000000,5.239.3430000,5.311.4060000,5.093.2740000,5.158.1180000,49.237.305
SHANGHAI,D,20071114,000000,5.246.5740000,5.412.6940000,5.169.5360000,5.412.6940000,50.992.871
SHANGHAI,D,20071115,000000,5.391.0170000,5.451.6410000,5.342.9060000,5.365.2670000,47.819.419
SHANGHAI,D,20071116,000000,5.273.0820000,5.333.5950000,5.226.8820000,5.316.2740000,38.174.289
SHANGHAI,D,20071119,000000,5.325.3020000,5.325.3020000,5.241.5930000,5.269.8170000,41.097.731
SHANGHAI,D,20071120,000000,5.230.7420000,5.336.0820000,5.161.2100000,5.293.7030000,49.057.393
SHANGHAI,D,20071121,000000,5.307.7930000,5.343.0770000,5.209.7420000,5.214.2250000,41.231.609
SHANGHAI,D,20071122,000000,5.113.8820000,5.153.9340000,4.973.7710000,4.984.1610000,41.251.594
SHANGHAI,D,20071123,000000,4.946.2580000,5.032.1300000,4.906.4560000,5.032.1300000,30.872.962
SHANGHAI,D,20071126,000000,5.102.5260000,5.110.3280000,4.953.5180000,4.958.8490000,37.494.220
SHANGHAI,D,20071127,000000,4.919.9130000,4.944.2800000,4.860.0110000,4.861.1110000,31.585.235
SHANGHAI,D,20071128,000000,4.870.8420000,4.907.0710000,4.778.9430000,4.803.3940000,32.765.317
SHANGHAI,D,20071129,000000,4.870.8610000,5.010.8850000,4.815.3410000,5.003.3330000,50.099.157
SHANGHAI,D,20071130,000000,4.993.7400000,4.993.7400000,4.862.1730000,4.871.7780000,43.449.596
SHANGHAI,D,20071203,000000,4.838.5640000,4.899.0700000,4.798.7130000,4.868.6110000,53.827.638
SHANGHAI,D,20071204,000000,4.882.1490000,4.971.1120000,4.882.1490000,4.915.8890000,42.924.665
SHANGHAI,D,20071205,000000,4.917.3650000,5.052.1880000,4.894.0540000,5.042.6540000,54.302.270
SHANGHAI,D,20071206,000000,5.055.8350000,5.065.0330000,4.995.9760000,5.035.0730000,43.246.483
SHANGHAI,D,20071207,000000,5.038.4780000,5.096.4660000,5.021.8860000,5.091.7560000,50.127.492
SHANGHAI,D,20071210,000000,5.010.8260000,5.168.4400000,4.992.5580000,5.161.9190000,68.892.463
SHANGHAI,D,20071211,000000,5.180.5410000,5.209.6910000,5.104.2570000,5.175.0760000,66.864.375
SHANGHAI,D,20071212,000000,5.175.0760000,5.175.0760000,5.055.1430000,5.095.5430000,72.367.337
SHANGHAI,D,20071213,000000,5.078.1820000,5.094.5070000,4.954.5890000,4.958.0430000,67.326.637
SHANGHAI,D,20071214,000000,4.899.7500000,5.011.0070000,4.860.9620000,5.007.9110000,52.194.571
SHANGHAI,D,20071217,000000,5.007.2850000,5.007.2850000,4.874.8210000,4.876.7610000,63.670.786
SHANGHAI,D,20071218,000000,4.856.4710000,4.905.0690000,4.812.4270000,4.836.1740000,40.535.455
SHANGHAI,D,20071219,000000,4.878.0660000,4.960.1220000,4.869.2910000,4.941.7840000,56.434.387
SHANGHAI,D,20071220,000000,4.965.2900000,5.050.7850000,4.923.4270000,5.043.5350000,57.768.321
SHANGHAI,D,20071221,000000,5.017.1950000,5.112.1850000,5.015.5300000,5.101.7790000,66.247.357
SHANGHAI,D,20071224,000000,5.132.9130000,5.284.1560000,5.104.9370000,5.234.2620000,85.105.378
SHANGHAI,D,20071225,000000,5.233.1750000,5.254.4050000,5.179.5460000,5.201.1810000,71.229.156
SHANGHAI,D,20071226,000000,5.209.0350000,5.261.8340000,5.158.9310000,5.233.3510000,74.571.398
SHANGHAI,D,20071227,000000,5.248.2220000,5.316.1190000,5.203.5190000,5.308.8890000,87.370.820
SHANGHAI,D,20071228,000000,5.320.0070000,5.336.3990000,5.248.6920000,5.261.5630000,77.214.986
SHANGHAI,D,20071231,000000,5.261.5630000,5.261.5630000,5.261.5630000,5.261.5630000,0
SHANGHAI,D,20080102,000000,5.265.0000000,5.295.0160000,5.201.8920000,5.272.8140000,76.593.423
SHANGHAI,D,20080103,000000,5.269.8010000,5.321.4570000,5.211.7550000,5.319.8610000,98.757.244
SHANGHAI,D,20080104,000000,5.328.4110000,5.372.4610000,5.318.5880000,5.361.5740000,80.877.536
SHANGHAI,D,20080107,000000,5.357.4500000,5.402.7590000,5.332.9740000,5.393.3430000,91.936.325
SHANGHAI,D,20080109,000000,5.387.3120000,5.437.2380000,5.386.9840000,5.435.8070000,29.453.515
SHANGHAI,D,20080110,000000,5.449.1600000,5.483.2980000,5.407.5900000,5.456.5410000,96.354.053
SHANGHAI,D,20080111,000000,5.471.3870000,5.499.8920000,5.424.2410000,5.484.6770000,87.324.694
SHANGHAI,D,20080114,000000,5.507.5780000,5.522.7780000,5.457.0160000,5.497.9010000,79.754.352
SHANGHAI,D,20080115,000000,5.503.9310000,5.505.0350000,5.405.9350000,5.443.7910000,80.605.282
SHANGHAI,D,20080116,000000,5.443.7910000,5.443.7910000,5.288.9320000,5.290.6060000,89.190.992
SHANGHAI,D,20080117,000000,5.235.9080000,5.311.7930000,5.040.8700000,5.151.6260000,97.674.777
SHANGHAI,D,20080118,000000,5.141.3710000,5.187.2950000,5.093.5190000,5.180.5140000,68.717.294
SHANGHAI,D,20080121,000000,5.188.7950000,5.200.5460000,4.891.9160000,4.914.4350000,75.676.001
SHANGHAI,D,20080122,000000,4.817.9970000,4.817.9970000,4.512.8350000,4.559.7510000,92.499.612
SHANGHAI,D,20080123,000000,4.572.9020000,4.705.0230000,4.510.5040000,4.703.0470000,87.903.337
SHANGHAI,D,20080124,000000,4.753.4450000,4.767.7540000,4.626.0240000,4.717.7340000,90.041.540
SHANGHAI,D,20080125,000000,4.716.9770000,4.806.2010000,4.658.2800000,4.761.6880000,77.859.117
SHANGHAI,D,20080128,000000,4.720.5640000,4.720.5640000,4.409.1240000,4.419.2940000,67.532.525
SHANGHAI,D,20080129,000000,4.426.2670000,4.516.7060000,4.389.8410000,4.457.9440000,48.650.261
SHANGHAI,D,20080130,000000,4.505.6350000,4.554.1430000,4.330.6980000,4.417.8490000,52.909.738
SHANGHAI,D,20080131,000000,4.408.0240000,4.486.2480000,4.368.2960000,4.383.3930000,43.846.189
SHANGHAI,D,20080201,000000,4.388.2540000,4.411.5530000,4.195.8150000,4.310.1130000,53.768.206
SHANGHAI,D,20080204,000000,4.415.0230000,4.672.1700000,4.415.0230000,4.672.1700000,61.747.417
SHANGHAI,D,20080205,000000,4.622.5390000,4.662.9710000,4.560.1670000,4.599.6960000,50.682.336
SHANGHAI,D,20080213,000000,4.525.0260000,4.547.3610000,4.454.6430000,4.490.7210000,36.985.017
SHANGHAI,D,20080214,000000,4.527.0540000,4.576.4630000,4.508.0520000,4.552.3160000,34.906.456
SHANGHAI,D,20080215,000000,4.523.7920000,4.523.7920000,4.431.4630000,4.497.1270000,41.386.519
SHANGHAI,D,20080218,000000,4.546.7520000,4.600.3950000,4.518.0230000,4.568.1510000,55.826.856
SHANGHAI,D,20080219,000000,4.582.2840000,4.665.5040000,4.545.6760000,4.664.2950000,60.899.996
