<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US3.ZW,D,20000407,000000,254.2500000,259.0000000,251.2500000,258.5000000,6.935
US3.ZW,D,20000410,000000,257.7500000,257.7500000,252.5000000,252.7500000,8.413
US3.ZW,D,20000411,000000,252.5000000,255.0000000,251.5000000,252.7500000,7.503
US3.ZW,D,20000412,000000,252.5000000,256.5000000,252.0000000,255.5000000,7.811
US3.ZW,D,20000413,000000,255.5000000,258.7500000,254.5000000,257.7500000,8.203
US3.ZW,D,20000414,000000,257.5000000,261.0000000,255.2500000,255.7500000,5.393
US3.ZW,D,20000417,000000,256.0000000,258.2500000,253.0000000,253.2500000,6.783
US3.ZW,D,20000418,000000,253.2500000,256.0000000,249.5000000,252.2500000,9.480
US3.ZW,D,20000419,000000,253.0000000,253.5000000,249.2500000,253.0000000,6.694
US3.ZW,D,20000420,000000,254.0000000,254.0000000,248.5000000,251.0000000,5.868
US3.ZW,D,20000421,000000,254.0000000,254.0000000,248.5000000,251.0000000,5.868
US3.ZW,D,20000424,000000,248.0000000,252.5000000,248.0000000,250.7500000,5.243
US3.ZW,D,20000425,000000,250.7500000,253.2500000,250.5000000,252.2500000,6.349
US3.ZW,D,20000426,000000,252.0000000,255.0000000,248.0000000,248.5000000,11.516
US3.ZW,D,20000427,000000,248.0000000,248.2500000,240.5000000,241.0000000,20.553
US3.ZW,D,20000428,000000,241.0000000,249.0000000,240.5000000,242.2500000,5.998
US3.ZW,D,20000501,000000,248.5000000,254.0000000,243.0000000,251.0000000,4.986
US3.ZW,D,20000502,000000,251.5000000,255.5000000,251.5000000,254.2500000,4.981
US3.ZW,D,20000503,000000,258.0000000,264.5000000,257.5000000,260.0000000,796
US3.ZW,D,20000504,000000,263.7500000,265.5000000,260.5000000,265.5000000,227
US3.ZW,D,20000505,000000,262.5000000,263.0000000,259.7500000,261.7500000,73
US3.ZW,D,20000508,000000,259.0000000,260.2500000,257.0000000,258.0000000,89
US3.ZW,D,20000509,000000,257.5000000,258.5000000,257.0000000,257.7500000,305
US3.ZW,D,20000510,000000,261.0000000,265.0000000,261.0000000,265.0000000,52
US3.ZW,D,20000511,000000,268.0000000,273.0000000,266.0000000,272.5000000,365
US3.ZW,D,20000512,000000,270.0000000,271.0000000,270.0000000,271.0000000,16
US3.ZW,D,20000515,000000,282.5000000,283.7500000,276.0000000,282.2500000,27.590
US3.ZW,D,20000516,000000,283.0000000,285.5000000,280.5000000,281.2500000,18.522
US3.ZW,D,20000517,000000,281.2500000,284.5000000,276.0000000,277.0000000,21.605
US3.ZW,D,20000518,000000,278.0000000,281.5000000,271.0000000,272.0000000,25.465
US3.ZW,D,20000519,000000,272.0000000,277.0000000,271.5000000,276.2500000,11.529
US3.ZW,D,20000522,000000,275.5000000,283.5000000,273.5000000,280.2500000,19.199
US3.ZW,D,20000523,000000,281.0000000,284.5000000,280.0000000,281.2500000,18.379
US3.ZW,D,20000524,000000,280.7500000,281.2500000,278.2500000,279.5000000,11.139
US3.ZW,D,20000525,000000,279.5000000,282.0000000,276.0000000,279.5000000,19.011
US3.ZW,D,20000526,000000,279.5000000,281.5000000,278.5000000,280.7500000,12.555
US3.ZW,D,20000529,000000,279.5000000,281.5000000,278.5000000,280.7500000,12.555
US3.ZW,D,20000530,000000,280.0000000,280.0000000,272.5000000,274.2500000,20.679
US3.ZW,D,20000531,000000,275.0000000,276.7500000,274.0000000,274.7500000,12.719
US3.ZW,D,20000601,000000,276.5000000,278.7500000,270.0000000,270.5000000,22.172
US3.ZW,D,20000602,000000,270.5000000,272.0000000,267.2500000,271.2500000,20.974
US3.ZW,D,20000605,000000,272.2500000,274.0000000,264.0000000,266.0000000,24.843
US3.ZW,D,20000606,000000,266.0000000,268.0000000,263.0000000,267.0000000,16.828
US3.ZW,D,20000607,000000,267.5000000,268.5000000,260.0000000,264.2500000,23.254
US3.ZW,D,20000608,000000,264.5000000,268.0000000,263.5000000,266.5000000,14.242
US3.ZW,D,20000609,000000,266.5000000,271.7500000,265.5000000,269.7500000,23.895
US3.ZW,D,20000612,000000,268.5000000,268.5000000,264.5000000,265.7500000,17.321
US3.ZW,D,20000613,000000,266.0000000,268.2500000,264.2500000,264.7500000,17.115
US3.ZW,D,20000614,000000,263.5000000,264.7500000,260.5000000,261.2500000,18.784
US3.ZW,D,20000615,000000,261.0000000,264.7500000,260.0000000,262.7500000,15.969
US3.ZW,D,20000616,000000,262.5000000,265.5000000,262.5000000,263.0000000,11.448
US3.ZW,D,20000619,000000,263.7500000,269.5000000,261.5000000,268.7500000,13.079
US3.ZW,D,20000620,000000,267.5000000,276.0000000,266.5000000,273.7500000,26.308
US3.ZW,D,20000621,000000,274.0000000,279.7500000,273.0000000,277.0000000,19.692
US3.ZW,D,20000622,000000,277.2500000,281.0000000,275.0000000,277.5000000,15.099
US3.ZW,D,20000623,000000,277.0000000,277.5000000,272.0000000,272.2500000,14.308
US3.ZW,D,20000626,000000,272.2500000,276.7500000,271.2500000,274.0000000,11.103
US3.ZW,D,20000627,000000,274.0000000,277.0000000,273.0000000,273.7500000,11.242
US3.ZW,D,20000628,000000,273.7500000,274.0000000,270.2500000,271.5000000,13.065
US3.ZW,D,20000629,000000,271.5000000,274.0000000,270.7500000,271.7500000,19.162
US3.ZW,D,20000630,000000,271.7500000,274.0000000,258.5000000,259.5000000,7.306
US3.ZW,D,20000703,000000,260.5000000,261.5000000,243.0000000,245.5000000,5.352
US3.ZW,D,20000704,000000,260.5000000,261.5000000,243.0000000,245.5000000,5.352
US3.ZW,D,20000705,000000,247.5000000,251.0000000,247.0000000,248.0000000,3.508
US3.ZW,D,20000706,000000,248.0000000,250.0000000,244.0000000,244.5000000,957
US3.ZW,D,20000707,000000,244.5000000,248.0000000,244.5000000,245.5000000,541
US3.ZW,D,20000710,000000,243.0000000,247.2500000,241.0000000,247.2500000,740
US3.ZW,D,20000711,000000,246.7500000,249.0000000,246.7500000,247.0000000,536
US3.ZW,D,20000712,000000,242.0000000,243.0000000,237.5000000,243.0000000,443
US3.ZW,D,20000713,000000,242.0000000,245.5000000,242.0000000,245.0000000,59
US3.ZW,D,20000714,000000,244.0000000,244.5000000,242.5000000,242.5000000,63
US3.ZW,D,20000717,000000,248.0000000,248.0000000,243.7500000,244.2500000,7.254
US3.ZW,D,20000718,000000,244.2500000,247.5000000,241.0000000,241.2500000,6.619
US3.ZW,D,20000719,000000,241.2500000,246.0000000,239.0000000,244.5000000,7.169
US3.ZW,D,20000720,000000,244.0000000,247.5000000,244.0000000,246.7500000,3.806
US3.ZW,D,20000721,000000,247.0000000,248.5000000,246.5000000,247.2500000,4.420
US3.ZW,D,20000724,000000,247.2500000,249.5000000,242.5000000,245.5000000,4.414
US3.ZW,D,20000725,000000,244.7500000,247.0000000,243.0000000,245.5000000,5.989
US3.ZW,D,20000726,000000,245.5000000,247.5000000,243.0000000,244.2500000,3.772
US3.ZW,D,20000727,000000,244.2500000,247.7500000,244.2500000,245.7500000,5.468
US3.ZW,D,20000728,000000,246.0000000,252.0000000,246.0000000,248.0000000,5.721
US3.ZW,D,20000731,000000,247.7500000,248.2500000,245.2500000,246.2500000,6.161
US3.ZW,D,20000801,000000,246.2500000,249.7500000,242.5000000,245.0000000,6.995
US3.ZW,D,20000802,000000,245.0000000,247.2500000,244.5000000,246.2500000,5.732
US3.ZW,D,20000803,000000,246.2500000,247.5000000,241.7500000,242.2500000,7.100
US3.ZW,D,20000804,000000,241.5000000,241.5000000,236.5000000,237.0000000,6.111
US3.ZW,D,20000807,000000,237.0000000,239.7500000,233.0000000,233.5000000,6.562
US3.ZW,D,20000808,000000,234.5000000,237.0000000,234.0000000,236.5000000,8.221
US3.ZW,D,20000809,000000,236.0000000,237.5000000,233.5000000,235.5000000,7.037
US3.ZW,D,20000810,000000,235.5000000,238.0000000,235.0000000,235.7500000,10.412
US3.ZW,D,20000811,000000,236.0000000,238.0000000,232.5000000,236.7500000,7.032
US3.ZW,D,20000814,000000,237.0000000,239.0000000,236.0000000,238.5000000,2.580
US3.ZW,D,20000815,000000,239.0000000,241.5000000,238.2500000,240.5000000,4.295
US3.ZW,D,20000816,000000,241.0000000,244.5000000,241.0000000,243.5000000,6.016
US3.ZW,D,20000817,000000,244.7500000,245.5000000,238.5000000,239.5000000,4.713
US3.ZW,D,20000818,000000,239.5000000,241.2500000,237.5000000,238.7500000,5.950
